12/17/2022   10:26:15  AM|FOUND PROPERTY|23XX  KALAKAUA AVE|WAIKIKI|District 6
12/17/2022   10:26:14  AM|ARGUMENT FAMILY|17XX  HUNA ST|NUUANU|District 5
12/17/2022   10:23:52  AM|SUSP CIRCUMSTANCE|9406XX  UKEE ST|WAIPIO| 
12/17/2022   10:22:22  AM|UEMV|41XX  PUUMALU PL|KAIMUKI|District 7
12/17/2022   10:21:15  AM|MEDICAL ASSIST|3XX  CIRCLE MAUKA ST|WAHIAWA|District 2
12/17/2022   10:20:40  AM|MVC|5XX  FARRINGTON HWY|KAPOLEI|District 8
12/17/2022   10:20:20  AM|NUISANCE COMPLAINT|8XX  ISENBERG ST|MCCULLY|District 7
12/17/2022   10:15:13  AM|MISC SERVICE CALL|26XX  KAAIPU AVE|MANOA|District 7
12/17/2022   10:14:56  AM|MISC PUB|11XX  SMITH ST|DOWNTOWN|District 1
12/17/2022   10:07:00  AM|FOLLOW UP|42XX  WAIALAE AVE|KAIMUKI|District 7
12/17/2022   09:58:17  AM|THEFT|9502XX  WAIKALANI DR|MILILANI|District 2
12/17/2022   09:57:56  AM|PARKING VIOLATION|4XX  LAGOON DR|AIRPORT|District 5
12/17/2022   09:53:23  AM|MISC PUB|18XX  ALEKOKI PL|MANOA|District 7
12/17/2022   09:47:37  AM|MISC SERVICE CALL|8705XX  PAAKEA RD|MAILI|District 8
12/17/2022   09:39:27  AM|AUTO THEFT|KAHALEWAI PL / KAM HWY|HALEIWA|District 2
12/17/2022   09:34:14  AM|THEFT|9105XX  FARRINGTON HWY|KAPOLEI|District 8
12/17/2022   09:19:50  AM|VEH TOWED|4704XX  HUI IWA ST|KANEOHE|District 4
12/17/2022   09:18:53  AM|ICF/SCF|9109XX  NORTH RD|EWA BEACH|District 8
12/17/2022   07:16:54  AM|THEFT|13XX  PALI HWY|DOWNTOWN|District 1
