12/17/2022   18:13:56  PM|STALLED/HAZARD VEH|1XX  H1W FWY|AIRPORT|District 5
12/17/2022   18:09:39  PM|LOUD PARTY|8512XX  KANEAKI ST|WAIANAE|District 8
12/17/2022   18:05:21  PM|MVC|9403XX  FARRINGTON HWY|WAIPAHU|District 3
12/17/2022   18:05:10  PM|AUTO THEFT|9402XX  LOAA ST|WAIPAHU|District 3
12/17/2022   18:03:13  PM|SUSP CIRCUMSTANCE|4707XX  KAALAEA RD|KAHALUU|District 4
12/17/2022   17:56:20  PM|FOLLOW UP|2XX  CIRCLE MAUKA ST|WAHIAWA|District 2
12/17/2022   17:54:01  PM|UNATTENDED DEATH|4705XX  NENEHIWA PL|KANEOHE|District 4
12/17/2022   17:44:29  PM|AGGRAVATED ASSAULT|4XX  KAPAHULU AVE|KAPAHULU|District 7
12/17/2022   17:40:51  PM|MISC PUB|8411XX  HANA ST|MAKAHA|District 8
12/17/2022   17:33:02  PM|SUSP CIRCUMSTANCE|41XX  ROUND TOP DR|MAKIKI|District 1
12/17/2022   17:11:39  PM|UNATTENDED DEATH|10XX  IHIIHI AVE|WAHIAWA|District 2
12/17/2022   17:07:09  PM|SIMPLE ASSAULT|8720XX  FARRINGTON HWY|NANAKULI|District 8
12/17/2022   16:02:40  PM|TRESPASS|9801XX  PALI MOMI ST|AIEA|District 3
