12/22/2022   17:58:02  PM|MISSING PERSON|9502XX  ULIULI PL|MILILANI|District 2
12/22/2022   17:57:26  PM|FOLLOW UP|8XX  S KING ST|HONOLULU|District 1
12/22/2022   17:55:33  PM|FOLLOW UP|CORAL SEA RD / INDEPENDENCE ST|KALAELOA|District 8
12/22/2022   17:50:29  PM|ALARM CALL|21XX  AUIKI ST|KALIHI|District 5
12/22/2022   17:42:23  PM|MEDICAL ASSIST|53XX  EDGEWATER DR|IROQUOIS|District 8
12/22/2022   17:42:21  PM|ARGUMENT|2XX  HAMAKUA DR|KAILUA|District 4
12/22/2022   17:40:38  PM|FOLLOW UP|9612XX  WAIHONA ST|PEARL CITY|District 3
12/22/2022   17:13:11  PM|THEFT|18XX  POKI ST|MAKIKI|District 1
12/22/2022   17:11:14  PM|MVC VEH TOWED|MOANALUA RD / KAAHELE ST|AIEA|District 3
12/22/2022   17:07:58  PM|UEMV|KAKOI ST / KILIHAU ST|MAPUNAPUNA|District 5
12/22/2022   17:06:58  PM|PARKING VIOLATION|17XX  PALANEHE PL|KALIHI|District 5
12/22/2022   16:55:53  PM|FOLLOW UP|8406XX  ALA MAHIKU ST|MAKAHA|District 8
12/22/2022   16:52:29  PM|FIRE CALL|16XX  KALANIIKI ST|WAIALAE|District 7
12/22/2022   16:51:37  PM|MISC PUB|9109XX  MAKULE RD|EWA BEACH|District 8
12/22/2022   16:45:33  PM|MISC SERVICE CALL|XX  LIHIWAI RD|KAILUA|District 4
12/22/2022   16:43:42  PM|RUNAWAY|XX  BELLEAU WOODS ST|KALAELOA|District 8
12/22/2022   16:29:30  PM|FOLLOW UP|XX  PROSPECT ST|PUNCHBOWL|District 1
12/22/2022   16:10:34  PM|WARRANT ARREST|11XX  LUNAAI ST|KAILUA|District 4
12/22/2022   16:08:11  PM|UNATTENDED DEATH|21XX  KONO PL|KALIHI|District 5
12/22/2022   14:41:03  PM|VEH TOWED|9411XX  LUMIPOLU ST|WAIPIO|District 3
12/22/2022   14:24:29  PM|PROPERTY DAMAGE|8XX  4TH ST|PEARL CITY|District 3
12/22/2022   11:43:49  AM|FOLLOW UP|10XX  MAKEPONO ST|KALIHI|District 5
