12/24/2022   07:56:47  AM|UEMV|22XX  ALOHA DR|WAIKIKI|District 6
12/24/2022   07:50:55  AM|SUSP CIRCUMSTANCE|8600XX  FARRINGTON HWY|WAIANAE|District 8
12/24/2022   07:50:42  AM|AGGRAVATED ASSAULT|16XX  PENSACOLA ST|MAKIKI|District 1
12/24/2022   07:50:05  AM|NUISANCE COMPLAINT|14XX  ALA MOANA PARK DR|ALA MOANA|District 1
12/24/2022   07:49:56  AM|PARKING VIOLATION|MALIU ST / KALIHI ST|KALIHI|District 5
12/24/2022   07:49:37  AM|VEH TOWED|KAPIOLANI BLVD / KONA IKI ST|HONOLULU|District 1
12/24/2022   07:46:44  AM|TRAFFIC COMPLAINT|16XX  SAND ISLAND PKWY|KALIHI|District 5
12/24/2022   07:42:12  AM|PARKING VIOLATION|45XX  SIERRA DR|KAIMUKI|District 7
12/24/2022   07:33:42  AM|MISC PUB|1XX  HANAUMA BAY RD|HAWAII KAI|District 7
12/24/2022   07:32:43  AM|SIMPLE ASSAULT|9110XX  YORKTOWN ST|KALAELOA|District 8
12/24/2022   07:27:00  AM|ARGUMENT FAMILY|12XX  KUALA ST|PEARL CITY|District 3
12/24/2022   07:25:52  AM|FOLLOW UP|9106XX  PAPIPI RD|EWA BEACH|District 8
12/24/2022   07:10:56  AM|MISC PUB|8XX  KAPAHULU AVE|KAPAHULU|District 7
12/24/2022   06:57:34  AM|PARKING VIOLATION|KAHIUKA ST / KAMOAWA ST|EWA BEACH|District 8
12/24/2022   06:56:45  AM|FOLLOW UP|21XX  AHE ST|KAIMUKI|District 7
12/24/2022   06:55:37  AM|MVC|9905XX  SALT LAKE BLVD|AIEA|District 3
12/24/2022   06:30:34  AM|VEH TOWED|10XX  ISENBERG ST|MCCULLY|District 7
12/24/2022   04:48:50  AM|WARRANT ARREST|8513XX  KAPAEKAHI ST|WAIANAE|District 8
