01/02/2023   16:44:07  PM|ANIMAL NOISE|24XX  MYRTLE ST|KAIMUKI|District 7
01/02/2023   16:40:26  PM|THEFT|14XX  AHONUI ST|KALIHI|District 5
01/02/2023   16:39:16  PM|ATTEMPTED SUICIDE|X JARRETT WHITE RD|TRIPLER|District 5
01/02/2023   16:38:59  PM|PARKING VIOLATION|6604XX  HALEIWA RD|HALEIWA|District 2
01/02/2023   16:38:56  PM|TRAFFIC COMPLAINT|KALIHI ST / AHUAHU PL|KALIHI|District 5
01/02/2023   16:37:20  PM|UEMV|9802XX  PALI MOMI ST|AIEA|District 3
01/02/2023   16:37:01  PM|MEDICAL ASSIST|9403XX  KAHUANANI ST|WAIPAHU|District 3
01/02/2023   16:31:32  PM|THEFT|4600XX  KAM HWY|KANEOHE|District 4
01/02/2023   16:21:28  PM|ORDER VIOLATION|11XX  S BERETANIA ST|HONOLULU|District 1
01/02/2023   16:18:31  PM|THEFT|23XX  KALAKAUA AVE|WAIKIKI|District 6
01/02/2023   16:15:04  PM|MISC SERVICE CALL|5506XX  NANILOA LOOP|LAIE|District 4
01/02/2023   16:14:14  PM|MISC PUB|9108XX  HAMIHA PL|EWA BEACH|District 8
01/02/2023   15:22:57  PM|TRESPASS|2XX  LEWERS ST|WAIKIKI|District 6
01/02/2023   15:21:03  PM|FOLLOW UP|23XX  N KING ST|KALIHI|District 5
01/02/2023   15:08:21  PM|FOLLOW UP|15XX  LINAPUNI ST|KALIHI|District 5
01/02/2023   15:00:50  PM|AGGRAVATED ASSAULT|6XX  ULUKAHIKI ST|KAILUA|District 4
01/02/2023   13:46:11  PM|THEFT|24XX  KOA AVE|WAIKIKI|District 6
