01/08/2023   01:26:50  AM|VEH TOWED|LEIHOKU ST / FARRINGTON HWY|WAIANAE|District 8
01/08/2023   01:23:11  AM|MVC VEH TOWED|XX  H2N FWY|PEARL CITY|District 3
01/08/2023   01:17:11  AM|VEH TOWED|24XX  KALAKAUA AVE|WAIKIKI|District 6
01/08/2023   01:11:25  AM|DISORDERLY CONDUCT|15XX  LINAPUNI ST|KALIHI|District 5
01/08/2023   01:08:11  AM|VEH TOWED|3XX  E MOANALUA FWY|SALT LAKE|District 5
01/08/2023   01:05:29  AM|NUISANCE COMPLAINT|16XX  NUUANU AVE|NUUANU|District 5
01/08/2023   01:03:38  AM|MISSING PERSON CXL|32XX  ESTHER ST|KAPAHULU|District 7
01/08/2023   00:48:07  AM|BURGLARY|9812XX  KAAHUMANU ST|PEARL CITY|District 3
01/08/2023   00:46:07  AM|MISC SERVICE CALL|XX  MERCHANT ST|DOWNTOWN|District 1
01/08/2023   00:29:46  AM|MISC CRIME OFFENSE|26XX  KALAKAUA AVE|WAIKIKI|District 6
01/08/2023   00:27:55  AM|DUI|8XX  KAM HWY|PEARL CITY|District 3
01/08/2023   00:27:04  AM|DUI|H1W KAONOHI OP|AIEA|District 3
01/08/2023   00:21:06  AM|UEMV|9XX  LEHUA AVE|PEARL CITY|District 3
01/08/2023   00:19:51  AM|FAMILY OFF/NEG WARN|3XX  N VINEYARD BLVD|DOWNTOWN|District 1
01/08/2023   00:03:35  AM|BURGLARY|9XX  ALA NANALA|SALT LAKE|District 5
01/07/2023   23:35:56  PM|THREATENING|XX  N HOTEL ST|DOWNTOWN|District 1
01/07/2023   22:23:24  PM|MISC CRIME OFFENSE|24XX  KALAKAUA AVE|WAIKIKI|District 6
