01/12/2023   11:13:52  AM|HARASSMENT|8502XX  FARRINGTON HWY|WAIANAE|District 8
01/12/2023   11:13:14  AM|SUSP CIRCUMSTANCE|9XX  KOKEA ST|KALIHI|District 5
01/12/2023   11:11:24  AM|VEH TOWED|PUULOA RD / SALT LAKE BLVD|MAPUNAPUNA|District 5
01/12/2023   11:03:02  AM|FOUND PROPERTY|14XX  ALA MOANA PARK DR|ALA MOANA|District 1
01/12/2023   10:58:59  AM|SUSP CIRCUMSTANCE|5500XX  KAM HWY|HAUULA|District 4
01/12/2023   10:58:46  AM|ORDER VIOLATION|3XX  WAI NANI WAY|WAIKIKI|District 6
01/12/2023   10:56:00  AM|SUSP CIRCUMSTANCE|5501XX  KAM HWY|LAIE|District 4
01/12/2023   10:55:58  AM|ICF/SCF|6704XX  KEKAUWA ST|WAIALUA|District 2
01/12/2023   10:47:43  AM|MVC|H3W LOOKOUT|KANEOHE|District 4
01/12/2023   10:44:16  AM|VEH TOWED|6100XX  KAM HWY|HALEIWA|District 2
01/12/2023   10:41:37  AM|FRAUD|15XX  KAPIOLANI BLVD|HONOLULU|District 1
01/12/2023   10:39:54  AM|THEFT|10XX  KIKOWAENA PL|MAPUNAPUNA|District 5
01/12/2023   10:35:10  AM|PROPERTY DAMAGE|12XX  KAUMUALII ST|KALIHI|District 5
01/12/2023   10:32:18  AM|VEH TOWED|9807XX  KUAHAO PL|PEARL CITY|District 3
01/12/2023   10:23:29  AM|UEMV|17XX  ALA MOANA BLVD|WAIKIKI|District 6
01/12/2023   10:03:45  AM|MISC PUB|4502XX  WAIKALUA RD|KANEOHE|District 4
01/12/2023   09:53:11  AM|MISC PUB|14XX  LIHOLIHO ST|MAKIKI|District 1
01/12/2023   08:56:53  AM|WARRANT ARREST|28XX  KILIHAU ST|MAPUNAPUNA|District 5
01/12/2023   07:49:49  AM|ROBBERY|N HOTEL ST / SMITH ST|DOWNTOWN|District 1
