01/12/2023   11:43:11  AM|ALARM CALL|9112XX  RENTON RD|EWA BEACH|District 8
01/12/2023   11:37:13  AM|PARKING VIOLATION|19XX  KAHAKAI DR|ALA MOANA|District 1
01/12/2023   11:35:02  AM|FAMILY OFF/NEG|3XX  PUUHALE RD|KALIHI|District 5
01/12/2023   11:30:54  AM|MISC PUB|4XX  ALAKAWA ST|KALIHI|District 5
01/12/2023   11:27:46  AM|SUSP CIRCUMSTANCE|1XX  KUAHIWI AVE|WAHIAWA|District 2
01/12/2023   11:26:59  AM|UNATTENDED DEATH|4507XX  PUUPELE ST|KANEOHE|District 4
01/12/2023   11:26:29  AM|FOLLOW UP|10XX  MAKEPONO ST|KALIHI|District 5
01/12/2023   11:25:06  AM|MVC|10XX  NUUANU AVE|DOWNTOWN|District 1
01/12/2023   11:23:16  AM|MVC|23XX  KALAKAUA AVE|WAIKIKI|District 6
01/12/2023   11:22:56  AM|MISC PUB|5XX  IOLANI AVE|PUNCHBOWL|District 1
01/12/2023   11:19:49  AM|PROPERTY DAMAGE|67XX  HAWAII KAI DR|HAWAII KAI|District 7
01/12/2023   11:11:24  AM|VEH TOWED|PUULOA RD / SALT LAKE BLVD|MAPUNAPUNA|District 5
01/12/2023   10:55:58  AM|ICF/SCF|6704XX  KEKAUWA ST|WAIALUA|District 2
01/12/2023   10:47:43  AM|MVC VEH TOWED|H3W LOOKOUT|KANEOHE|District 4
01/12/2023   10:44:16  AM|VEH TOWED|6100XX  KAM HWY|HALEIWA|District 2
01/12/2023   10:39:54  AM|THEFT|10XX  KIKOWAENA PL|MAPUNAPUNA|District 5
01/12/2023   08:56:53  AM|WARRANT ARREST|28XX  KILIHAU ST|MAPUNAPUNA|District 5
