01/20/2023   17:43:43  PM|MVC VEH TOWED|KAPIOLANI BLVD / PUMEHANA ST|MCCULLY|District 7
01/20/2023   17:41:38  PM|HARASSMENT|9102XX  KEONEKAPU PL|EWA BEACH|District 8
01/20/2023   17:40:25  PM|HARASSMENT|6801XX  AU ST|MOKULEIA|District 2
01/20/2023   17:39:33  PM|MVC|XX  N BERETANIA ST|DOWNTOWN|District 1
01/20/2023   17:39:24  PM|MEDICAL ASSIST|9907XX  ALIIPOE DR|AIEA|District 3
01/20/2023   17:38:35  PM|THEFT|5403XX  KAM HWY|HAUULA|District 4
01/20/2023   17:36:58  PM|VEH TOWED|9109XX  PUHIKANI ST|EWA BEACH|District 8
01/20/2023   17:36:48  PM|PARKING VIOLATION|9111XX  WAIEMI ST|EWA BEACH|District 8
01/20/2023   17:35:01  PM|PARKING VIOLATION|9105XX  MAOHAKA PL|EWA BEACH|District 8
01/20/2023   17:31:41  PM|THEFT|11XX  QUEEN ST|HONOLULU|District 1
01/20/2023   17:31:04  PM|ARGUMENT|14XX  LIHOLIHO ST|MAKIKI|District 1
01/20/2023   17:23:59  PM|MISC SERVICE CALL|8501XX  ALA WALUA ST|WAIANAE|District 8
01/20/2023   17:23:28  PM|RUNAWAY CXL|5606XX  KAM HWY|KAHUKU|District 4
01/20/2023   17:16:37  PM|THEFT|19XX  KEALAKAI ST|KALIHI|District 5
01/20/2023   17:15:56  PM|MISC PUB|10XX  KAM HWY|PEARL CITY|District 3
01/20/2023   17:09:57  PM|MISC PUB|9101XX  PAPIPI RD|EWA BEACH|District 8
01/20/2023   16:57:51  PM|MISC SERVICE CALL|7XX  S KING ST|HONOLULU|District 1
01/20/2023   16:50:50  PM|WARRANT ARREST|16XX  WILIKINA DR|WAHIAWA|District 2
01/20/2023   14:10:34  PM|VEH TOWED|16XX  ALA MOANA BLVD|WAIKIKI|District 6
