01/28/2023   09:27:46  AM|FAMILY OFF/NEG|7XX  MAKALEKA AVE|KAPAHULU|District 7
01/28/2023   09:23:03  AM|NOISE COMPLAINT|9111XX  PAANIANA ST|EWA BEACH|District 8
01/28/2023   09:22:46  AM|DROPPED CALL|14XX  AALA ST|DOWNTOWN|District 1
01/28/2023   09:22:31  AM|MVC|XX  H1E FWY|WAIPAHU|District 3
01/28/2023   09:13:31  AM|MISC SERVICE CALL|15XX  KANUNU ST|HONOLULU|District 1
01/28/2023   09:12:58  AM|MEDICAL ASSIST|9106XX  KILIPOE ST|EWA BEACH|District 8
01/28/2023   09:12:12  AM|MISC SERVICE CALL|9404XX  KEALAKAA ST|MILILANI|District 2
01/28/2023   09:10:29  AM|MISC PUB|6204XX  KAM HWY|HALEIWA|District 2
01/28/2023   09:10:05  AM|MISC SERVICE CALL|18XX  KAHAKAI DR|ALA MOANA|District 1
01/28/2023   09:08:32  AM|AUTO THEFT|6603XX  HALEIWA RD|HALEIWA|District 2
01/28/2023   09:06:52  AM|THREATENING|9110XX  YORKTOWN ST|KALAELOA|District 8
01/28/2023   08:52:51  AM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
01/28/2023   08:43:16  AM|HARASSMENT|4XX  NIU ST|WAIKIKI|District 6
01/28/2023   08:28:24  AM|FOLLOW UP|9XX  KEEHI MARINA|KALIHI|District 5
01/28/2023   07:46:09  AM|SIMPLE ASSAULT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
