01/31/2023   02:29:08  AM|AUTO THEFT RECOVERY|KAWAIAHAO ST / KAMANI ST|HONOLULU|District 1
01/31/2023   02:28:44  AM|DUI|OLOHANA ST / ALA WAI BLVD|WAIKIKI|District 6
01/31/2023   02:28:23  AM|TRAFFIC ARREST/CITATION|29XX  S KING ST|KAPAHULU|District 7
01/31/2023   02:14:22  AM|PARKING VIOLATION|29XX  DATE ST|KAPAHULU|District 7
01/31/2023   01:53:24  AM|VEH TOWED|9800XX  KAM HWY|AIEA|District 3
01/31/2023   01:37:57  AM|MISC PUB|7XX  LAWELAWE ST|AINA HAINA|District 7
01/30/2023   23:35:51  PM|RUNAWAY CXL|25XX  KALAKAUA AVE|WAIKIKI|District 6
01/30/2023   23:09:57  PM|VEH TOWED|4502XX  KANEOHE BAY DR|KANEOHE|District 4
01/30/2023   22:05:04  PM|DUI|PUU KALA ST / PUU PONI ST|PEARL CITY|District 3
01/30/2023   22:02:47  PM|DUI|1XX  W MOANALUA FWY|AIEA|District 3
01/30/2023   10:46:22  AM|FAMILY OFF/NEG|6800XX  AKULE ST|MOKULEIA|District 2
