02/02/2023   06:13:32  AM|AUTO THEFT|4804XX  KAM HWY|KAHALUU|District 4
02/02/2023   06:12:48  AM|LOST PROPERTY|4XX  ATKINSON DR|ALA MOANA|District 1
02/02/2023   06:12:38  AM|MVC|20XX  KALIA RD|WAIKIKI|District 6
02/02/2023   06:10:47  AM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
02/02/2023   06:09:32  AM|PARKING VIOLATION|N KUKUI ST / RIVER ST|DOWNTOWN|District 1
02/02/2023   06:09:25  AM|ICF/SCF|23XX  S KING ST|MCCULLY|District 7
02/02/2023   06:08:43  AM|WEAPONS|4XX  N VINEYARD BLVD|DOWNTOWN|District 1
02/02/2023   06:04:33  AM|FRAUD|28XX  ALA ILIMA|SALT LAKE|District 5
02/02/2023   06:03:29  AM|STALLED/HAZARD VEH|XX  H1E FWY|WAIPAHU|District 3
02/02/2023   06:03:08  AM|STALLED/HAZARD VEH|PALI HWY / WAOKANAKA ST|NUUANU|District 5
02/02/2023   05:59:34  AM|MVC|PAHOA AVE / KILAUEA AVE|KAIMUKI|District 7
02/02/2023   05:59:11  AM|NUISANCE COMPLAINT|16XX  ALA MOANA BLVD|ALA MOANA|District 1
02/02/2023   05:57:09  AM|NUISANCE COMPLAINT|22XX  S KING ST|MCCULLY|District 7
02/02/2023   05:47:33  AM|MVC VEH TOWED|WAIOLA ST / MCCULLY ST|MCCULLY|District 7
02/02/2023   04:52:00  AM|MVC|7XX  S KING ST|HONOLULU|District 1
02/02/2023   04:49:44  AM|UEMV|YOUNG ST / AKOKO ST|HONOLULU|District 1
