02/09/2023   13:10:21  PM|MEDICAL ASSIST|2XX  LEWERS ST|WAIKIKI|District 6
02/09/2023   13:07:49  PM|SUSP CIRCUMSTANCE|13XX  ALEXANDER ST|MCCULLY|District 7
02/09/2023   13:07:25  PM|FOLLOW UP|4506XX  KAM HWY|KANEOHE|District 4
02/09/2023   13:06:24  PM|FOLLOW UP|4XX  LELE ST|AIRPORT|District 5
02/09/2023   13:05:06  PM|TRAFFIC COMPLAINT|24XX  AUMAKUA ST|PEARL CITY|District 3
02/09/2023   13:02:38  PM|MISC PUB|15XX  S KING ST|MCCULLY|District 1
02/09/2023   12:58:28  PM|PROPERTY DAMAGE|3XX  N CANE ST|WAHIAWA|District 2
02/09/2023   12:55:54  PM|PARKING VIOLATION|XX  KARSTEN DR|WAHIAWA|District 2
02/09/2023   12:55:01  PM|PROPERTY DAMAGE|9102XX  PUANOHU PL|KAPOLEI|District 8
02/09/2023   12:50:14  PM|MVC|66XX  KALANIANAOLE HWY|HAWAII KAI|District 7
02/09/2023   12:50:02  PM|MISC SERVICE CALL|23XX  KAPIOLANI BLVD|MCCULLY|District 7
02/09/2023   12:49:48  PM|MVC|41XX  KOKO DR|KAIMUKI|District 7
02/09/2023   12:49:36  PM|TRAFFIC CONTROL DEVICE|KAM HWY / KEOLE ST|KANEOHE|District 4
02/09/2023   12:48:23  PM|PARKING VIOLATION|MOTT SMITH DR / PILILANI PL|MAKIKI|District 1
02/09/2023   12:43:38  PM|PROPERTY DAMAGE|9901XX  KOHOMUA ST|AIEA|District 3
02/09/2023   12:39:47  PM|FRAUD|31XX  KOAPAKA ST|AIRPORT|District 5
02/09/2023   12:36:16  PM|MISSING PERSON|32XX  PALIULI ST|KAIMUKI|District 7
02/09/2023   12:23:23  PM|AUTO THEFT RECOVERY|8XX  ISENBERG ST|MCCULLY|District 7
02/09/2023   11:53:21  AM|MISC CRIME OFFENSE|2XX  N KING ST|DOWNTOWN|District 1
02/09/2023   11:23:59  AM|MISC PUB|9XX  KOKEA ST|KALIHI|District 5
02/09/2023   11:03:15  AM|FOLLOW UP|4700XX  HUI IWA PL|KANEOHE|District 4
02/09/2023   10:46:56  AM|WARRANT ARREST|1XX  HEKILI ST|KAILUA|District 4
02/09/2023   10:43:31  AM|AUTO THEFT|SMITH ST / N KING ST|DOWNTOWN|District 1
02/09/2023   10:31:54  AM|THREATENING|7XX  KEOLU DR|KAILUA|District 4
