02/10/2023   21:58:30  PM|LOST PROPERTY|1XX  HOLOMOANA ST|WAIKIKI|District 6
02/10/2023   21:55:07  PM|THEFT|10XX  KAM HWY|PEARL CITY|District 3
02/10/2023   21:54:53  PM|PARKING VIOLATION|10XX  WILIKI DR|ALIAMANU|District 5
02/10/2023   21:54:21  PM|FOLLOW UP|17XX  MAKIKI ST|MAKIKI|District 1
02/10/2023   21:52:31  PM|MISC SERVICE CALL|13XX  ALA AOLANI|MOANALUA V|District 5
02/10/2023   21:52:05  PM|SIMPLE ASSAULT|6600XX  KAM HWY|HALEIWA|District 2
02/10/2023   21:51:05  PM|MVC|WAIMAHUI PL / KEONEKAPU ST|EWA BEACH|District 8
02/10/2023   21:50:42  PM|MVC|PEPEEKEO PL / PEPEEKEO ST|HAWAII KAI|District 7
02/10/2023   21:50:15  PM|ARGUMENT|7XX  KAMOKU ST|MCCULLY|District 7
02/10/2023   21:50:12  PM|NOISE COMPLAINT|13XX  LUNALILO ST|MAKIKI|District 1
02/10/2023   21:44:07  PM|COUNTERFEIT/FORGERY|9109XX  FORT WEAVER RD|EWA BEACH|District 8
02/10/2023   21:39:00  PM|UEMV|14XX  ALA MOANA BLVD|ALA MOANA|District 1
02/10/2023   21:29:01  PM|NUISANCE COMPLAINT|9408XX  MOLOALO ST|WAIPAHU|District 3
02/10/2023   21:28:44  PM|MISC PUB|8901XX  FARRINGTON HWY|NANAKULI|District 8
02/10/2023   21:16:31  PM|FAMILY OFF/NEG|10XX  QUEEN ST|HONOLULU|District 1
02/10/2023   20:26:41  PM|WARRANT ARREST|S HOTEL ST / FORT ST MALL|DOWNTOWN|District 1
02/10/2023   19:57:43  PM|BURGLARY|6XX  POKOLE ST|KAHALA|District 7
02/10/2023   19:51:15  PM|MISC SERVICE CALL|MOANALUA RD / ALA NAPUNANI|SALT LAKE|District 5
