02/12/2023   17:56:41  PM|WARRANT ARREST|3XX  ROYAL HAWAIIAN AVE|WAIKIKI|District 6
02/12/2023   17:53:05  PM|THEFT|12XX  S BERETANIA ST|HONOLULU|District 1
02/12/2023   17:45:35  PM|MVC|LILIHA ST / EHAKO PL|NUUANU|District 5
02/12/2023   17:45:12  PM|UEMV|6905XX  FARRINGTON HWY|MOKULEIA|District 2
02/12/2023   17:43:40  PM|MVC|9403XX  FARRINGTON HWY|WAIPAHU|District 3
02/12/2023   17:36:40  PM|ICF/SCF|14XX  KAUMUALII ST|KALIHI|District 5
02/12/2023   17:25:43  PM|AUTO THEFT|9400XX  NAWAAKOA PL|WAIPAHU|District 3
02/12/2023   17:20:52  PM|MISC PUB|19XX  ALGAROBA ST|MCCULLY|District 7
02/12/2023   17:05:57  PM|MVC|14XX  PALI HWY|DOWNTOWN|District 1
02/12/2023   17:03:06  PM|MVC VEH TOWED|H1E EXIT20B VINEYARD|KALIHI|District 5
02/12/2023   17:00:10  PM|SUSP CIRCUMSTANCE|41XX  KEAKA DR|ALIAMANU|District 5
02/12/2023   16:48:34  PM|PROPERTY DAMAGE|32XX  N NIMITZ HWY|AIRPORT|District 5
