02/22/2023   16:28:55  PM|TRO INITIAL|9110XX  KAIAPO ST|EWA BEACH|District 8
02/22/2023   16:27:55  PM|HARASSMENT|14XX  AINAPUA ST|MOANALUA V|District 5
02/22/2023   16:27:38  PM|FOLLOW UP|33XX  MONSARRAT AVE|KAPAHULU|District 7
02/22/2023   16:26:47  PM|TRESPASS WARN|14XX  ALA MOANA BLVD|ALA MOANA|District 1
02/22/2023   16:21:42  PM|SUSP VEH|XX  H1W FWY|WAIPIO|District 3
02/22/2023   16:15:05  PM|THEFT|17XX  ALA MOANA BLVD|WAIKIKI|District 6
02/22/2023   16:08:19  PM|TRESPASS|25XX  KALAKAUA AVE|WAIKIKI|District 6
02/22/2023   16:07:52  PM|FOLLOW UP|9805XX  HOLOPUNI ST|AIEA|District 3
02/22/2023   16:05:13  PM|MISC PUB|4502XX  WAIKALUA RD|KANEOHE|District 4
02/22/2023   16:04:47  PM|MISC PUB|4508XX  LUANA PL|KANEOHE|District 4
02/22/2023   16:01:44  PM|MISC SERVICE CALL|6XX  QUEEN ST|HONOLULU|District 1
02/22/2023   15:48:36  PM|MVC|9XX  N KING ST|KALIHI|District 5
02/22/2023   15:43:31  PM|PARKING VIOLATION|CALIFORNIA AVE / HILL DR|WAHIAWA|District 2
02/22/2023   15:29:01  PM|MISC SERVICE CALL|4502XX  LILIPUNA RD|KANEOHE|District 4
02/22/2023   15:19:52  PM|FOLLOW UP|13XX  ALA MOANA BLVD|ALA MOANA|District 1
02/22/2023   15:18:25  PM|SIMPLE ASSAULT|11XX  LYMAN RD|SCHOFIELD|District 2
02/22/2023   14:36:02  PM|SIMPLE ASSAULT|10XX  S KING ST|HONOLULU|District 1
02/22/2023   14:28:10  PM|MISC PUB|24XX  E MANOA RD|MANOA|District 7
02/22/2023   14:27:52  PM|MISC SERVICE CALL|12XX  KAPIOLANI BLVD|HONOLULU|District 1
02/22/2023   14:23:45  PM|MISC PUB|5305XX  KAM HWY|PUNALUU|District 4
02/22/2023   13:59:43  PM|THEFT|7XX  KEEAUMOKU ST|HONOLULU|District 1
