03/02/2023   19:19:29  PM|ARGUMENT|8XX  AIPO ST|HAWAII KAI|District 7
03/02/2023   19:18:28  PM|UEMV|14XX  ALA MOANA BLVD|ALA MOANA|District 1
03/02/2023   19:18:14  PM|PARKING VIOLATION|9400XX  WAIPAHU ST|WAIPAHU|District 3
03/02/2023   19:16:38  PM|THEFT|17XX  KALAKAUA AVE|MCCULLY|District 1
03/02/2023   19:12:33  PM|NUISANCE COMPLAINT|MAKAUNULAU ST / LEOLANI ST|MILILANI|District 2
03/02/2023   19:09:55  PM|STALLED/HAZARD VEH|1XX  H1W FWY|AIEA|District 3
03/02/2023   19:05:13  PM|SUSP CIRCUMSTANCE|WILSON PL / WILSON ST|KALIHI|District 5
03/02/2023   19:00:36  PM|MISC PUB|H3W KAM UP|KANEOHE|District 4
03/02/2023   18:55:16  PM|WARRANT ARREST|29XX  KALAKAUA AVE|WAIKIKI|District 6
03/02/2023   18:40:10  PM|TRAFFIC STOP|KAM HWY / LIKELIKE HWY|KANEOHE|District 4
03/02/2023   18:19:29  PM|MISC PUB|KAHUAPAANI ST / SALT LAKE BLVD|AIEA|District 3
03/02/2023   18:15:04  PM|THEFT|9810XX  MOANALUA RD|AIEA|District 3
03/02/2023   17:02:50  PM|GRAFFITI|9600XX  ALA IKE|WAIPAHU|District 3
03/02/2023   16:34:35  PM|FOLLOW UP|9213XX  KIKAHA ST|MAKAKILO|District 8
03/02/2023   16:03:48  PM|THEFT|4113XX  KUHIMANA ST|WAIMANALO|District 4
03/02/2023   15:59:07  PM|THEFT|8605XX  HALONA RD|WAIANAE|District 8
