03/05/2023   01:27:24  AM|TRAFFIC STOP|LUNALILO ST / KEWALO ST|MAKIKI|District 1
03/05/2023   01:26:12  AM|ARGUMENT|4100XX  HIHIMANU ST|WAIMANALO|District 4
03/05/2023   01:19:48  AM|ICF/SCF|23XX  KALAKAUA AVE|WAIKIKI|District 6
03/05/2023   01:04:24  AM|HARASSMENT|1XX  MILIKANA PL|WAHIAWA|District 2
03/05/2023   01:04:20  AM|MVC VEH TOWED|8701XX  HAKIMO RD|NANAKULI|District 8
03/05/2023   00:54:54  AM|MISC PUB|8602XX  FARRINGTON HWY|WAIANAE|District 8
03/05/2023   00:27:40  AM|WARRANT ARREST|9110XX  PAKAWELI ST|KAPOLEI|District 8
03/05/2023   00:23:16  AM|VEH TOWED|XX  H1W FWY|WAIPAHU|District 3
03/05/2023   00:19:26  AM|ROBBERY|6700XX  GOODALE AVE|WAIALUA|District 2
03/05/2023   00:15:55  AM|DUI|FARRINGTON HWY / WAIPIO POINT ACC RD|WAIPAHU|District 3
03/05/2023   00:12:42  AM|RAPE|5XX  KAAAHI ST|KALIHI|District 5
03/05/2023   00:07:05  AM|DUI|52XX  ASHLEY AVE|PC PEN|District 3
03/04/2023   23:33:28  PM|VEH TOWED|MAKAHA VALLEY RD / ALA HOLO LOOP|MAKAHA|District 8
03/04/2023   22:40:09  PM|AGGRAVATED ASSAULT|3XX  N NIMITZ HWY|KALIHI|District 5
03/04/2023   22:35:02  PM|MVC VEH TOWED|KAM HWY / HALEAHA RD|PUNALUU|District 4
03/04/2023   22:34:32  PM|HARASSMENT|8602XX  PUHAWAI RD|WAIANAE|District 8
03/04/2023   22:31:10  PM|FAMILY OFF/NEG|10XX  AOLOA PL|KAILUA|District 4
