03/06/2023   17:28:44  PM|VEH TOWED|KAPUNI ST / KUHIO AVE|WAIKIKI|District 6
03/06/2023   17:26:33  PM|ARGUMENT|1XX  MELEANA PL|NUUANU|District 5
03/06/2023   17:21:29  PM|ARGUMENT|21XX  N KING ST|KALIHI|District 5
03/06/2023   17:20:30  PM|PARKING VIOLATION|35XX  ALOHEA AVE|KAPAHULU|District 7
03/06/2023   17:20:16  PM|AUTO THEFT|9402XX  KIPOU ST|WAIPAHU|District 3
03/06/2023   17:18:17  PM|UEMV|6106XX  KAM HWY|HALEIWA|District 2
03/06/2023   17:17:14  PM|MISSING PERSON|4402XX  MIKIOLA DR|KANEOHE|District 4
03/06/2023   17:10:11  PM|MISC PUB|9101XX  PAPIPI RD|EWA BEACH|District 8
03/06/2023   17:05:44  PM|PROPERTY DAMAGE|16XX  PALAMA ST|KALIHI|District 5
03/06/2023   17:04:09  PM|TRAFFIC COMPLAINT|14XX  QUEEN EMMA ST|DOWNTOWN|District 1
03/06/2023   16:54:14  PM|MISC PUB|15XX  MAKALOA ST|HONOLULU|District 1
03/06/2023   16:53:52  PM|NUISANCE COMPLAINT|15XX  DILLINGHAM BLVD|KALIHI|District 5
03/06/2023   16:08:12  PM|THEFT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
03/06/2023   16:04:26  PM|TRESPASS WARN|11XX  KUALA ST|PEARL CITY|District 3
03/06/2023   15:56:31  PM|THEFT|29XX  E MANOA RD|MANOA|District 7
03/06/2023   15:07:07  PM|FAMILY OFF/NEG|KAINEHE ST / PUNIU ST|KAILUA|District 4
03/06/2023   14:37:33  PM|THEFT|20XX  AAMANU ST|PEARL CITY|District 3
03/06/2023   14:36:41  PM|MVC|5505XX  KAM HWY|LAIE|District 4
03/06/2023   14:34:19  PM|FOLLOW UP|15XX  WILDER AVE|MAKIKI|District 1
03/06/2023   14:17:22  PM|THEFT|9503XX  KUAHELANI AVE|MILILANI|District 2
03/06/2023   12:12:27  PM|MISC SERVICE CALL|4XX  N VINEYARD BLVD|DOWNTOWN|District 1
03/06/2023   07:07:32  AM|THEFT|8600XX  LEIHOKU ST|WAIANAE|District 8
