03/10/2023   23:12:06  PM|TRAFFIC ARREST/CITATION|OLIVE AVE / MAKANI AVE|WAHIAWA|District 2
03/10/2023   23:10:51  PM|ICF/SCF|2XX  ONEAWA ST|KAILUA|District 4
03/10/2023   23:09:51  PM|MISC PUB|FARRINGTON HWY / PAIWA ST|WAIPAHU|District 3
03/10/2023   23:08:51  PM|MVC VEH TOWED|KAPOLEI PKWY / FORT BARRETTE RD|KAPOLEI|District 8
03/10/2023   23:08:32  PM|NUISANCE COMPLAINT|8304XX  FARRINGTON HWY|MAKAHA|District 8
03/10/2023   23:07:38  PM|SUSP PERSON|15XX  MAKIKI ST|MAKIKI|District 1
03/10/2023   23:06:36  PM|MVC|1XX  ONEAWA ST|KAILUA|District 4
03/10/2023   23:06:23  PM|VEH TOWED|14XX  ALA MOANA PARK DR|ALA MOANA|District 1
03/10/2023   23:03:37  PM|TRAFFIC INCIDENT|65XX  KALANIANAOLE HWY|HAWAII KAI|District 7
03/10/2023   22:56:19  PM|ICF/SCF|20XX  ELUWENE ST|KALIHI|District 5
03/10/2023   22:52:50  PM|MISC SERVICE CALL|41XX  GUADALCANAL CIR|KALAELOA|District 8
03/10/2023   22:39:12  PM|DUI|FARRINGTON HWY / ALA AKAU ST|WAIANAE|District 8
03/10/2023   22:38:28  PM|MISSING PERSON|9XX  PIIKOI ST|HONOLULU|District 1
03/10/2023   22:33:18  PM|VEH TOWED|12XX  ALA MOANA BLVD|ALA MOANA|District 1
03/10/2023   22:28:47  PM|VEH TOWED|KAPOLEI PKWY / KOLOWAKA DR|EWA BEACH|District 8
03/10/2023   21:49:48  PM|MISC PUB|KANEOHE BAY DR / H3W FWY|KANEOHE|District 4
03/10/2023   20:37:33  PM|THEFT|23XX  KALAKAUA AVE|WAIKIKI|District 6
03/10/2023   18:21:55  PM|TRESPASS|11XX  ALA MOANA BLVD|KAKAAKO|District 1
