03/11/2023   14:42:40  PM|TRAFFIC COMPLAINT|6603XX  HALEIWA RD|HALEIWA|District 2
03/11/2023   14:38:43  PM|NUISANCE COMPLAINT|24XX  TUSITALA ST|WAIKIKI|District 6
03/11/2023   14:36:21  PM|WARRANT ARREST|SEASIDE AVE / KALAKAUA AVE|WAIKIKI|District 6
03/11/2023   14:34:32  PM|MISC CRIME OFFENSE|22XX  KALAKAUA AVE|WAIKIKI|District 6
03/11/2023   14:34:19  PM|THEFT|7XX  COOKE ST|HONOLULU|District 1
03/11/2023   14:33:06  PM|FIRE CALL|8604XX  LUALUALEI HMSTD RD|WAIANAE|District 8
03/11/2023   14:32:52  PM|SUSP PERSON|2XX  PAIKO DR|AINA HAINA|District 7
03/11/2023   14:16:52  PM|FOLLOW UP|9110XX  KUHINA ST|EWA BEACH|District 8
03/11/2023   14:12:45  PM|THEFT|22XX  KALAKAUA AVE|WAIKIKI|District 6
03/11/2023   14:07:53  PM|MISC SERVICE CALL|8721XX  PAKEKE ST|MAILI|District 8
03/11/2023   13:50:42  PM|RUNAWAY CXL|9802XX  PALI MOMI ST|AIEA|District 3
03/11/2023   13:28:42  PM|AUTO THEFT|1XX  WHITE PLAINS ST|KALAELOA|District 8
03/11/2023   12:16:53  PM|FAMILY OFF/NEG|15XX  H3W FWY|MCBH|District 4
