03/12/2023   00:07:21  AM|NUISANCE COMPLAINT|11XX  VILLA LN|MCCULLY|District 7
03/12/2023   00:03:15  AM|MISC SERVICE CALL|8707XX  FARRINGTON HWY|MAILI|District 8
03/12/2023   00:00:05  AM|THEFT|9111XX  NAMAHOE ST|KAPOLEI|District 8
03/11/2023   23:34:57  PM|DRUGS/NARCOTICS|4506XX  KEAAHALA RD|KANEOHE|District 4
03/11/2023   23:33:32  PM|ATTENDED DEATH|9510XX  ALAKAINA ST|MILILANI|District 2
03/11/2023   23:09:46  PM|MISC PUB|24XX  KALAKAUA AVE|WAIKIKI|District 6
03/11/2023   23:09:18  PM|UNATTENDED DEATH|35XX  ALIAMANU ST|ALIAMANU|District 5
03/11/2023   23:07:26  PM|ANIMAL NOISE|9500XX  WAIKALANI DR|MILILANI|District 2
03/11/2023   23:07:12  PM|STALLED/HAZARD VEH|H2N EXIT5B MILILANI TOWN|MILILANI|District 2
03/11/2023   22:55:36  PM|FAMILY OFF/NEG|9810XX  MOANALUA RD|AIEA|District 3
03/11/2023   22:47:10  PM|FAMILY OFF/NEG|4XX  NOHONANI ST|WAIKIKI|District 6
03/11/2023   22:42:32  PM|DUI|KAILUA RD / KAINEHE ST|KAILUA|District 4
03/11/2023   22:25:14  PM|VEH TOWED|N NIMITZ HWY / PAIEA ST|AIRPORT|District 5
03/11/2023   22:24:14  PM|ROBBERY|9512XX  MEHEULA PKWY|MILILANI|District 2
03/11/2023   21:49:54  PM|SIMPLE ASSAULT|24XX  KALAKAUA AVE|WAIKIKI|District 6
