03/12/2023   17:11:19  PM|TRAFFIC INCIDENT|9812XX  KAAHUMANU ST|PEARL CITY|District 3
03/12/2023   17:08:48  PM|UEMV|17XX  DILLINGHAM BLVD|KALIHI|District 5
03/12/2023   17:00:08  PM|MVC|9506XX  WIKAO ST|MILILANI|District 2
03/12/2023   16:59:34  PM|MVC VEH TOWED|6508XX  KAUKONAHUA RD|WAHIAWA|District 2
03/12/2023   16:45:04  PM|FOLLOW UP|14XX  ALA MOANA BLVD|ALA MOANA|District 1
03/12/2023   16:43:04  PM|FAMILY OFF/NEG|13XX  PUNCHBOWL ST|HONOLULU|District 1
03/12/2023   16:40:40  PM|TRESPASS WARN|14XX  ALA MOANA BLVD|ALA MOANA|District 1
03/12/2023   16:28:46  PM|DEFIB CALL|7XX  AHUKINI ST|HAWAII KAI|District 7
03/12/2023   16:28:14  PM|JUVENILE NUISANCE|3XX  HALEMAUMAU ST|AINA HAINA|District 7
03/12/2023   16:17:20  PM|ICF/SCF|4708XX  KAM HWY|KAHALUU|District 4
03/12/2023   16:07:36  PM|AUTO THEFT|KAM HWY / KAAAWA VALLEY RD|KAAAWA|District 4
