03/14/2023   18:42:48  PM|SUSP PERSON|4502XX  KANEOHE BAY DR|KANEOHE|District 4
03/14/2023   18:40:21  PM|FAMILY OFF/NEG|6205XX  JOSEPH P LEONG HWY|HALEIWA|District 2
03/14/2023   18:40:10  PM|MISC SERVICE CALL|13XX  PUNCHBOWL ST|HONOLULU|District 1
03/14/2023   18:37:05  PM|PARKING VIOLATION|10XX  8TH AVE|KAIMUKI|District 7
03/14/2023   18:35:22  PM|FIRE CALL|KOKEA ST / HALONA ST|KALIHI|District 5
03/14/2023   18:32:20  PM|UNATTENDED DEATH|17XX  HOOKOE ST|PEARL CITY|District 3
03/14/2023   18:30:47  PM|ARGUMENT FAMILY|26XX  LILIHA ST|NUUANU|District 5
03/14/2023   18:28:38  PM|LOST PROPERTY|8710XX  OHEOHE ST|MAILI|District 8
03/14/2023   18:27:01  PM|TRESPASS|9412XX  KA UKA BLVD|WAIPIO|District 3
03/14/2023   18:16:54  PM|SEX ASSAULT|9121XX  FORT WEAVER RD|EWA BEACH|District 8
03/14/2023   18:11:37  PM|TRAFFIC CONTROL DEVICE|MAKALOA ST / KALAKAUA AVE|HONOLULU|District 1
03/14/2023   18:08:10  PM|ROBBERY|14XX  ALA MOANA BLVD|ALA MOANA|District 1
03/14/2023   18:07:23  PM|PROPERTY DAMAGE|9111XX  KOKA ST|EWA BEACH|District 8
03/14/2023   18:05:41  PM|AUTO THEFT|HALEKAUWILA ST / WARD AVE|HONOLULU|District 1
03/14/2023   17:55:25  PM|AUTO THEFT|4XX  SOUTH ST|KAKAAKO|District 1
03/14/2023   17:22:17  PM|MISC PUB|9101XX  PAPIPI RD|EWA BEACH|District 8
03/14/2023   16:47:28  PM|MISC PUB|7XX  S KING ST|HONOLULU|District 1
03/14/2023   16:28:42  PM|MISC CRIME OFFENSE|9801XX  KIHALE ST|AIEA|District 3
03/14/2023   16:20:06  PM|FAMILY OFF/NEG|9402XX  ANIANI PL|WAIPAHU|District 3
03/14/2023   16:09:25  PM|FOLLOW UP|8708XX  ILIILI RD|MAILI|District 8
