03/15/2023   08:28:16  AM|ALARM CALL|5XX  HAKAKA PL|KAHALA|District 7
03/15/2023   08:27:53  AM|ARGUMENT|11XX  BISHOP ST|DOWNTOWN|District 1
03/15/2023   08:25:23  AM|MISSING PERSON|3XX  N KUAKINI ST|NUUANU|District 5
03/15/2023   08:18:04  AM|MISC PUB|9806XX  ALOALII ST|AIEA|District 3
03/15/2023   08:16:38  AM|NUISANCE COMPLAINT|21XX  N NIMITZ HWY|KALIHI|District 5
03/15/2023   08:16:14  AM|MISC PUB|9500XX  WAIKALANI DR|MILILANI|District 2
03/15/2023   08:10:58  AM|PROPERTY DAMAGE|22XX  KALAKAUA AVE|WAIKIKI|District 6
03/15/2023   08:08:50  AM|MISC SERVICE CALL|9100XX  POHAKUPUNA PL|EWA BEACH|District 8
03/15/2023   08:06:28  AM|UEMV|XX  KEPOLA PL|NUUANU|District 5
03/15/2023   08:01:41  AM|ROBBERY|20XX  KALAKAUA AVE|WAIKIKI|District 6
03/15/2023   07:58:26  AM|MISC PUB|9505XX  WIKAO ST|MILILANI|District 2
03/15/2023   07:54:31  AM|MVC VEH TOWED|N KING ST / UMI ST|KALIHI|District 5
03/15/2023   07:53:07  AM|PROPERTY DAMAGE|4602XX  HAIKU RD|KANEOHE|District 4
03/15/2023   07:10:01  AM|BURGLARY|6205XX  KAM HWY|HALEIWA|District 2
03/15/2023   06:35:06  AM|ORDER VIOLATION|9212XX  HOOKOMO ST|MAKAKILO|District 8
