03/20/2023   20:12:00  PM|PARKING VIOLATION|COOLIDGE ST / S KING ST|MCCULLY|District 7
03/20/2023   20:11:50  PM|SUSP PERSON|9901XX  MOANALUA RD|AIEA|District 3
03/20/2023   20:11:27  PM|VEH TOWED|14XX  BERNICE ST|KALIHI|District 5
03/20/2023   20:05:50  PM|ORDER VIOLATION|40XX  GUADALCANAL AVE|KALAELOA|District 8
03/20/2023   19:58:52  PM|SIMPLE ASSAULT|9110XX  UOUOA ST|EWA BEACH|District 8
03/20/2023   19:50:39  PM|THEFT|22XX  KALAKAUA AVE|WAIKIKI|District 6
03/20/2023   19:45:44  PM|MISC PUB|24XX  HIHIO PL|KALIHI|District 5
03/20/2023   19:43:14  PM|TRAFFIC COMPLAINT|KALANIANAOLE HWY / KAPAA QUARRY RD|KAILUA|District 4
03/20/2023   19:24:37  PM|PROPERTY DAMAGE|XX  KAUILA ST|NUUANU|District 5
03/20/2023   19:23:34  PM|MVC|4904XX  KAM HWY|KAHALUU|District 4
03/20/2023   19:22:12  PM|KIDNAPPING|13XX  HALOA DR|AIEA|District 3
03/20/2023   18:50:22  PM|IDENTITY THEFT|8XX  S BERETANIA ST|HONOLULU|District 1
03/20/2023   18:31:14  PM|SIMPLE ASSAULT|16XX  PLUMBAGO CT|RADFORD T|District 5
03/20/2023   18:29:15  PM|THREATENING|14XX  ALA MOANA BLVD|ALA MOANA|District 1
03/20/2023   18:23:50  PM|THREATENING|9410XX  ELEU ST|WAIPAHU|District 3
03/20/2023   16:32:06  PM|FOLLOW UP|5401XX  KAM HWY|HAUULA|District 4
