03/30/2023   02:36:22  AM|MISC SERVICE CALL|4501XX  MAKAHIO ST|KANEOHE|District 4
03/30/2023   02:32:21  AM|VEH TOWED|37XX  PAKI AVE|WAIKIKI|District 6
03/30/2023   02:28:25  AM|MISC PUB|26XX  WAIWAI LOOP|AIRPORT|District 5
03/30/2023   02:22:13  AM|DUI|QUEEN ST / KAMAKEE ST|HONOLULU|District 1
03/30/2023   02:08:48  AM|DUI|QUEEN ST / MILILANI ST|DOWNTOWN|District 1
03/30/2023   02:04:35  AM|MVC VEH TOWED|N SCHOOL ST / LINAPUNI ST|KALIHI|District 5
03/30/2023   01:36:09  AM|MISC PUB|11XX  KAMOKILA BLVD|KAPOLEI|District 8
03/30/2023   01:01:55  AM|ROBBERY|N HOTEL ST / MAUNAKEA ST|DOWNTOWN|District 1
03/29/2023   23:32:16  PM|DUI|ALA MOANA BLVD / ATKINSON DR|ALA MOANA|District 1
03/29/2023   23:29:00  PM|FAMILY OFF/NEG|8504XX  FARRINGTON HWY|WAIANAE|District 8
03/29/2023   23:10:35  PM|MISC PUB|KAM HWY / KALUAMOI PL|PEARL CITY|District 3
