04/01/2023   20:21:28  PM|MVC|1XX  S KAM HWY|WAHIAWA|District 2
04/01/2023   20:14:27  PM|RUNAWAY CXL|9206XX  MAKAKILO DR|MAKAKILO|District 8
04/01/2023   20:05:22  PM|BURGLARY|2XX  NAONE ST|PUNCHBOWL|District 1
04/01/2023   20:01:04  PM|AGGRAVATED ASSAULT|9109XX  NORTH RD|EWA BEACH|District 8
04/01/2023   19:55:45  PM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
04/01/2023   19:41:58  PM|FAMILY OFF/NEG|9207XX  NOHOPONO ST|MAKAKILO|District 8
04/01/2023   18:16:00  PM|ICF/SCF|14XX  AKULEANA PL|KAILUA|District 4
04/01/2023   18:02:48  PM|THEFT|9802XX  KAONOHI ST|AIEA|District 3
04/01/2023   17:43:22  PM|FOLLOW UP|8411XX  FARRINGTON HWY|MAKAHA|District 8
04/01/2023   16:57:33  PM|FAMILY OFF/NEG|9801XX  LIPOA PL|AIEA|District 3
04/01/2023   13:50:45  PM|THEFT|18XX  ALA MOANA BLVD|WAIKIKI|District 6
