04/04/2023   06:28:57  AM|RUNAWAY CXL|9110XX  KEKUILANI LOOP|KAPOLEI|District 8
04/04/2023   06:28:30  AM|TRESPASS|9403XX  KUAHELANI AVE|MILILANI|District 2
04/04/2023   06:28:16  AM|FRAUD|6XX  NALANUI ST|NUUANU|District 5
04/04/2023   06:26:35  AM|FRAUD|78XX  MAKAAOA PL|HAWAII KAI|District 7
04/04/2023   06:26:25  AM|PARKING VIOLATION|SEA VIEW AVE / HUNNEWELL ST|MANOA|District 7
04/04/2023   06:25:02  AM|PARKING VIOLATION|4XX  NAMAHANA ST|WAIKIKI|District 6
04/04/2023   06:23:05  AM|MVC|WAIALAE AVE / 1ST AVE|KAIMUKI|District 7
04/04/2023   06:20:42  AM|TRESPASS|42XX  LAWEHANA ST|AIEA|District 3
04/04/2023   06:16:18  AM|MVC|KUNIA ONTO H1E|WAIPAHU|District 3
04/04/2023   06:12:46  AM|MVC|9404XX  FARRINGTON HWY|WAIPAHU|District 3
04/04/2023   06:00:05  AM|MVC|1XX  H1E FWY|AIEA|District 3
04/04/2023   05:38:27  AM|THEFT|9408XX  UKEE ST|WAIPIO|District 3
04/04/2023   05:31:56  AM|MVC VEH TOWED|4707XX  KAM HWY|KAHALUU|District 4
