04/05/2023   00:27:21  AM|TRAFFIC STOP|FARRINGTON HWY / ALA AKAU ST|WAIANAE|District 8
04/05/2023   00:20:43  AM|VEH TOWED|12XX  S BERETANIA ST|HONOLULU|District 1
04/05/2023   00:09:02  AM|VEH TOWED|9500XX  KAM HWY|MILILANI|District 2
04/04/2023   23:47:41  PM|NOISE COMPLAINT|MANELE ST / ALAPAI ST|PUNCHBOWL|District 1
04/04/2023   23:32:51  PM|MISC PUB|7XX  KAM HWY|PEARL CITY|District 3
04/04/2023   23:28:51  PM|FAMILY OFF/NEG|4101XX  NAKINI ST|WAIMANALO|District 4
04/04/2023   23:17:05  PM|MISC PUB|7XX  KAIWIULA ST|KALIHI|District 5
04/04/2023   23:13:31  PM|DUI|KAM HWY / KALUAMOI PL|PEARL CITY|District 3
04/04/2023   22:00:58  PM|LIQUOR LAW|12XX  MIDDLE ST|KALIHI|District 5
04/04/2023   21:59:34  PM|VEH TOWED|5801XX  MAMAO ST|SUNSET|District 2
04/04/2023   21:11:27  PM|ORDER VIOLATION|5500XX  NAUPAKA ST|LAIE|District 4
