04/06/2023   08:41:53  AM|ARGUMENT|13XX  8TH AVE|KAIMUKI|District 7
04/06/2023   08:41:28  AM|PROPERTY DAMAGE|NUUANU AVE / N KING ST|DOWNTOWN|District 1
04/06/2023   08:41:20  AM|MVC VEH TOWED|2XX  N KAINALU DR|KAILUA|District 4
04/06/2023   08:40:24  AM|MVC|9512XX  MEHEULA PKWY|MILILANI|District 2
04/06/2023   08:39:49  AM|TRAFFIC INCIDENT|13XX  S KING ST|HONOLULU|District 1
04/06/2023   08:39:35  AM|MEDICAL ASSIST|15XX  LINAPUNI ST|KALIHI|District 5
04/06/2023   08:38:06  AM|MVC|KAPAHULU AVE / CARTWRIGHT RD|WAIKIKI|District 6
04/06/2023   08:35:23  AM|PARKING VIOLATION|18XX  EAMES ST|WAHIAWA|District 2
04/06/2023   08:34:40  AM|NUISANCE COMPLAINT|8701XX  WAIOLU ST|NANAKULI|District 8
04/06/2023   08:33:21  AM|THEFT|9110XX  KAIHANUPA ST|EWA BEACH|District 8
04/06/2023   08:32:57  AM|MISC SERVICE CALL|8910XX  PIKAIOLENA ST|NANAKULI|District 8
04/06/2023   08:26:48  AM|BURGLARY|9102XX  HANAPOULI CIR|EWA BEACH|District 8
04/06/2023   08:23:18  AM|FOLLOW UP|4XX  KAMOKILA BLVD|KAPOLEI|District 8
04/06/2023   08:21:05  AM|TRESPASS WARN|SAIPAN DR / WHITMORE AVE|WAHIAWA|District 2
04/06/2023   08:17:26  AM|FOLLOW UP|8XX  KALIHI ST|KALIHI|District 5
04/06/2023   08:13:34  AM|FRAUD|6XX  CORAL ST|HONOLULU|District 1
04/06/2023   08:10:11  AM|MVC VEH TOWED|RADFORD DR / THOMAS WAY|MOANALUA T|District 5
04/06/2023   07:54:31  AM|MISC CRIME OFFENSE|9110XX  LELEOI ST|EWA BEACH|District 8
04/06/2023   07:28:02  AM|COUNTERFEIT/FORGERY|7XX  KAPIOLANI BLVD|HONOLULU|District 1
04/06/2023   07:21:39  AM|WARRANT ARREST|10XX  KEOLU DR|KAILUA|District 4
04/06/2023   06:27:33  AM|DUI|39XX  PAKI AVE|WAIKIKI|District 6
