04/07/2023   01:13:45  AM|MISC SERVICE CALL|24XX  KAPIOLANI BLVD|MCCULLY|District 7
04/07/2023   01:13:13  AM|NUISANCE COMPLAINT|7XX  KINAU ST|HONOLULU|District 1
04/07/2023   01:09:39  AM|SUSP CIRCUMSTANCE|4XX  KAMAAHA AVE|KAPOLEI|District 8
04/07/2023   01:08:20  AM|NUISANCE COMPLAINT|9817XX  KAAHUMANU ST|PEARL CITY|District 3
04/07/2023   01:00:00  AM|NUISANCE COMPLAINT|13XX  S KING ST|HONOLULU|District 1
04/07/2023   00:16:15  AM|MEDICAL ASSIST|5XX  KAAAHI ST|KALIHI|District 5
04/06/2023   23:13:59  PM|MISC PUB|PAIWA ST / FARRINGTON HWY|WAIPAHU|District 3
04/06/2023   22:55:11  PM|ROBBERY|13XX  PUNCHBOWL ST|HONOLULU|District 1
04/06/2023   22:46:02  PM|SIMPLE ASSAULT|9121XX  FORT WEAVER RD|EWA BEACH|District 8
04/06/2023   22:14:25  PM|DISORDERLY CONDUCT|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
04/06/2023   20:21:29  PM|TRESPASS WARN|23XX  KUHIO AVE|WAIKIKI|District 6
