04/07/2023   10:43:14  AM|MVC|KAMANANUI RD / WILIKINA DR|WAHIAWA|District 2
04/07/2023   10:42:35  AM|MISC PUB|4204XX  KALANIANAOLE HWY|KAILUA|District 4
04/07/2023   10:40:23  AM|MISC PUB|10XX  FORT ST MALL|DOWNTOWN|District 1
04/07/2023   10:37:51  AM|RUNAWAY|14XX  GREGORY ST|KALIHI|District 5
04/07/2023   10:37:17  AM|PARKING VIOLATION|30XX  ALA NAPUAA PL|SALT LAKE|District 5
04/07/2023   10:31:30  AM|TRESPASS|13XX  PUNCHBOWL ST|HONOLULU|District 1
04/07/2023   10:30:38  AM|THEFT|4904XX  KAM HWY|KAHALUU|District 4
04/07/2023   10:29:55  AM|LIC PLATE THEFT|1XX  KAIMI ST|KAILUA|District 4
04/07/2023   10:27:53  AM|PROPERTY DAMAGE|20XX  DATE ST|MCCULLY|District 7
04/07/2023   10:25:58  AM|NUISANCE COMPLAINT|19XX  KALAKAUA AVE|WAIKIKI|District 6
04/07/2023   10:23:11  AM|AUTO THEFT|9613XX  WAIHONA ST|PEARL CITY|District 3
04/07/2023   10:22:53  AM|NUISANCE COMPLAINT|8600XX  FARRINGTON HWY|WAIANAE|District 8
04/07/2023   09:36:10  AM|FAMILY OFF/NEG|4703XX  HUI IWA ST|KANEOHE|District 4
04/07/2023   09:20:05  AM|CUSTODIAL INTERFERENCE|20XX  LANIHULI DR|MANOA|District 7
04/07/2023   08:17:32  AM|FOLLOW UP|9XX  COOLIDGE ST|MCCULLY|District 7
