04/08/2023   00:44:02  AM|SIMPLE ASSAULT|4204XX  KALANIANAOLE HWY|KAILUA|District 4
04/08/2023   00:39:58  AM|NUISANCE COMPLAINT|ULUNIU AVE / KOA AVE|WAIKIKI|District 6
04/08/2023   00:37:31  AM|MVC VEH TOWED|LEHUA AVE / FARM ST|PC PEN|District 3
04/08/2023   00:33:36  AM|DUI|16XX  KAPIOLANI BLVD|HONOLULU|District 1
04/08/2023   00:31:08  AM|FIRE CALL|12XX  S KING ST|HONOLULU|District 1
04/08/2023   00:27:35  AM|SUSP CIRCUMSTANCE|9XX  KEALAOLU AVE|KAHALA|District 7
04/08/2023   00:23:08  AM|ARGUMENT FAMILY|17XX  ALA MOANA BLVD|WAIKIKI|District 6
04/08/2023   00:13:27  AM|MVC|MEHEULA PKWY / KAAPEHA ST|MILILANI|District 2
04/07/2023   23:04:59  PM|DUI|LEIHOKU ST / FARRINGTON HWY|WAIANAE|District 8
04/07/2023   23:03:25  PM|HARASSMENT|23XX  KALAKAUA AVE|WAIKIKI|District 6
04/07/2023   22:09:10  PM|VEH TOWED|9110XX  KEAUNUI DR|EWA BEACH|District 8
04/07/2023   21:53:36  PM|DUI|MAKAKILO DR / PALAILAI ST|MAKAKILO|District 8
04/07/2023   21:30:09  PM|AGGRAVATED ASSAULT|9502XX  KIPAPA DR|MILILANI|District 2
04/07/2023   21:28:52  PM|FAMILY OFF/NEG|10XX  KEKAULIKE ST|DOWNTOWN|District 1
