04/12/2023   04:28:55  AM|SUSP CIRCUMSTANCE|24XX  KALAKAUA AVE|WAIKIKI|District 6
04/12/2023   04:27:23  AM|FOLLOW UP|9208XX  OPALIPALI PL|MAKAKILO|District 8
04/12/2023   04:25:23  AM|BURGLARY|9207XX  NOHONA ST|MAKAKILO|District 8
04/12/2023   04:20:59  AM|WARRANT ARREST|N HOTEL ST / MAUNAKEA ST|DOWNTOWN|District 1
04/12/2023   04:13:32  AM|ALARM CALL|XX  PUIWA RD|NUUANU|District 5
04/12/2023   04:11:12  AM|MVC|9812XX  KAAHUMANU ST|PEARL CITY|District 3
04/12/2023   03:58:14  AM|TRESPASS WARN|9116XX  FORT WEAVER RD|EWA BEACH|District 8
04/12/2023   03:24:14  AM|UNATTENDED DEATH|13XX  PUNCHBOWL ST|HONOLULU|District 1
04/12/2023   02:50:18  AM|MISC CRIME OFFENSE|20XX  KAPIOLANI BLVD|MCCULLY|District 7
04/12/2023   01:43:24  AM|FAMILY OFF/NEG|9101XX  KAOMI LOOP|KAPOLEI|District 8
04/12/2023   00:21:45  AM|ARSON|8609XX  PAHANO LOOP|WAIANAE|District 8
04/11/2023   23:17:31  PM|MISC PUB|KALUAMOI PL / KAM HWY|PEARL CITY|District 3
