04/13/2023   03:43:39  AM|TRAFFIC COMPLAINT|PUPUKEA RD / KAM HWY|SUNSET|District 2
04/13/2023   03:41:08  AM|STALLED VEH|3XX  W MOANALUA FWY|MOANALUA V|District 5
04/13/2023   03:27:37  AM|THEFT|21XX  KALAKAUA AVE|WAIKIKI|District 6
04/13/2023   03:21:19  AM|FOLLOW UP|12XX  ALA KAPUNA|MOANALUA V|District 5
04/13/2023   02:46:28  AM|MISC PUB|9XX  NIMITZ HWY|KALIHI|District 5
04/13/2023   02:45:55  AM|MISC SERVICE CALL|DILLINGHAM BLVD / MCNEILL ST|KALIHI|District 5
04/13/2023   02:35:55  AM|THEFT|11XX  MAPUANA ST|KAILUA|District 4
04/13/2023   02:20:58  AM|WARRANT ARREST|24XX  KALAKAUA AVE|WAIKIKI|District 6
04/13/2023   02:16:34  AM|DUI|COOKE ST / KAPIOLANI BLVD|HONOLULU|District 1
04/13/2023   02:09:58  AM|DUI|KAPIOLANI BLVD / PENSACOLA ST|HONOLULU|District 1
04/13/2023   01:43:03  AM|WARRANT ARREST|24XX  KALAKAUA AVE|WAIKIKI|District 6
04/13/2023   01:07:06  AM|DUI|HALEKAUWILA ST / WARD AVE|HONOLULU|District 1
04/13/2023   00:10:02  AM|DUI|9XX  WARD AVE|HONOLULU|District 1
04/12/2023   23:50:40  PM|DUI|SOUTH ST / KAPIOLANI BLVD|HONOLULU|District 1
04/12/2023   23:29:22  PM|MISC PUB|KAM HWY / HONOMANU ST|AIEA|District 3
04/12/2023   23:26:12  PM|UEMV|8715XX  FARRINGTON HWY|NANAKULI|District 8
04/12/2023   20:48:09  PM|WARRANT ARREST|ATKINSON DR / KONA ST|ALA MOANA|District 1
04/12/2023   20:41:16  PM|ARSON|16XX  ALA MOANA BLVD|WAIKIKI|District 6
