04/16/2023   17:55:01  PM|SUSP PERSON|KAHEKILI HWY / AHUIMANU RD|KANEOHE|District 4
04/16/2023   17:44:59  PM|AUTO THEFT|26XX  KALAKAUA AVE|WAIKIKI|District 6
04/16/2023   17:42:37  PM|THEFT|10XX  KAM HWY|PEARL CITY|District 3
04/16/2023   17:41:45  PM|MISC PUB|CORAL SEA RD / INDEPENDENCE ST|KALAELOA|District 8
04/16/2023   17:39:56  PM|PROPERTY DAMAGE|10XX  KAM HWY|PEARL CITY|District 3
04/16/2023   17:39:30  PM|MVC VEH TOWED|WAILUA ST / HAWAII KAI DR|HAWAII KAI|District 7
04/16/2023   17:39:05  PM|PROPERTY DAMAGE|9410XX  KAM HWY|WAIPIO|District 3
04/16/2023   17:32:52  PM|ARGUMENT FAMILY|9510XX  MELEKOMO ST|MILILANI|District 2
04/16/2023   17:32:37  PM|IDENTITY THEFT|DILLINGHAM BLVD / KAAAHI ST|KALIHI|District 5
04/16/2023   17:24:35  PM|VEH TOWED|3XX  PAOAKALANI AVE|WAIKIKI|District 6
04/16/2023   17:02:04  PM|VEH TOWED|2XX  H1E FWY|MCCULLY|District 7
04/16/2023   16:20:41  PM|AGGRAVATED ASSAULT|N HOTEL ST / KEKAULIKE ST|DOWNTOWN|District 1
04/16/2023   15:58:02  PM|FAMILY OFF/NEG|13XX  MOI WAY|KAIMUKI|District 7
04/16/2023   15:24:54  PM|FAMILY OFF/NEG|4XX  PAU ST|WAIKIKI|District 6
04/16/2023   11:30:30  AM|AGGRAVATED ASSAULT|MOOKAULA ST / KAMENANI ST|KALIHI|District 5
