04/22/2023   21:10:48  PM|MISC CRIME OFFENSE|26XX  S KING ST|MCCULLY|District 7
04/22/2023   21:10:27  PM|MVC|19XX  WILIKINA DR|WAHIAWA|District 2
04/22/2023   21:05:15  PM|UEMV|9402XX  PAIOA PL|WAIPIO|District 3
04/22/2023   20:59:08  PM|MISC SERVICE CALL|9109XX  NORTH RD|EWA BEACH|District 8
04/22/2023   20:56:37  PM|NUISANCE COMPLAINT|6800XX  WAIALUA BEACH RD|MOKULEIA|District 2
04/22/2023   20:50:57  PM|FAMILY OFF/NEG|7XX  PIIKOI ST|HONOLULU|District 1
04/22/2023   20:50:17  PM|SUSP VEH|6805XX  FARRINGTON HWY|WAIALUA|District 2
04/22/2023   20:50:08  PM|NOISE COMPLAINT|8512XX  KANEAKI ST|WAIANAE|District 8
04/22/2023   20:41:34  PM|BURGLARY|9501XX  KAHELA ST|MILILANI|District 2
04/22/2023   20:41:05  PM|FIREWORKS VIOLATION|8700XX  FARRINGTON HWY|MAILI|District 8
04/22/2023   20:36:43  PM|MVC VEH TOWED|6106XX  KAM HWY|HALEIWA|District 2
04/22/2023   20:27:43  PM|MISC SERVICE CALL|30XX  ALA MAKAHALA PL|SALT LAKE|District 5
04/22/2023   20:22:35  PM|THREATENING|12XX  PUNUA WAY|KAILUA|District 4
