04/24/2023   19:53:03  PM|LIC PLATE THEFT|27XX  KUILEI ST|MCCULLY|District 7
04/24/2023   19:51:40  PM|MISC CRIME OFFENSE|14XX  SAND ISLAND PKWY|KALIHI|District 5
04/24/2023   19:42:56  PM|MVC VEH TOWED|9208XX  MAKAKILO DR|MAKAKILO|District 8
04/24/2023   19:40:24  PM|FOLLOW UP|5104XX  HIWAHIWA ST|KAAAWA|District 4
04/24/2023   19:36:32  PM|PARKING VIOLATION|15XX  LIHOLIHO ST|MAKIKI|District 1
04/24/2023   19:32:17  PM|ORDER VIOLATION|8XX  HALEKAUWILA ST|HONOLULU|District 1
04/24/2023   19:29:28  PM|PARKING VIOLATION|MOANALUALANI PL / ALA KAPUNA|MOANALUA V|District 5
04/24/2023   19:24:17  PM|TRAFFIC COMPLAINT|KAM HWY / CENTER DR|AIRPORT|District 5
04/24/2023   19:23:49  PM|MISC PUB|KAILUA RD / KAINEHE ST|KAILUA|District 4
04/24/2023   19:21:00  PM|THEFT|3XX  HAHANI ST|KAILUA|District 4
04/24/2023   19:18:38  PM|MISC PUB|KAHUAPAANI ST / SALT LAKE BLVD|AIEA|District 3
04/24/2023   19:13:32  PM|MISC PUB|KANEOHE BAY DR / H3W FWY|KANEOHE|District 4
04/24/2023   19:13:07  PM|THREATENING|6XX  ALA MOANA BLVD|KAKAAKO|District 1
04/24/2023   19:05:04  PM|THEFT|19XX  MAKIKI HTS DR|MAKIKI|District 1
04/24/2023   18:56:17  PM|MISC SERVICE CALL|13XX  WILDER AVE|MAKIKI|District 1
04/24/2023   18:46:25  PM|WARRANT ARREST|2XX  S VINEYARD BLVD|DOWNTOWN|District 1
04/24/2023   18:27:26  PM|ORDER VIOLATION|9500XX  WAIKALANI DR|MILILANI|District 2
04/24/2023   18:17:11  PM|MISC PUB|16XX  POKI ST|MAKIKI|District 1
04/24/2023   17:09:53  PM|FRAUD|9503XX  KAILIULA LOOP|MILILANI|District 2
04/24/2023   16:36:56  PM|THEFT|4101XX  NALU ST|WAIMANALO|District 4
04/24/2023   16:22:23  PM|UNATTENDED DEATH|3XX  ILIMALIA LOOP|KAILUA|District 4
04/24/2023   15:43:02  PM|PROPERTY DAMAGE|15XX  WARD AVE|PUNCHBOWL|District 1
04/24/2023   14:36:32  PM|MISC PUB|5506XX  NANILOA LOOP|LAIE|District 4
