04/29/2023   20:58:04  PM|TRESPASS WARN|9810XX  MOANALUA RD|AIEA|District 3
04/29/2023   20:55:27  PM|MISC SERVICE CALL|17XX  ALA MOANA BLVD|WAIKIKI|District 6
04/29/2023   20:53:50  PM|ARGUMENT FAMILY|4XX  KUWILI ST|KALIHI|District 5
04/29/2023   20:51:07  PM|MISC PUB|26XX  ALA WAI BLVD|WAIKIKI|District 6
04/29/2023   20:49:55  PM|THREATENING|8701XX  KULAPA PL|MAILI|District 8
04/29/2023   20:48:02  PM|FOUND PROPERTY|20XX  WAIOLA ST|MCCULLY|District 7
04/29/2023   20:45:08  PM|JUVENILE NUISANCE|14XX  LINAPUNI ST|KALIHI|District 5
04/29/2023   20:23:11  PM|MVC VEH TOWED|LAULAUNUI ST / FORT WEAVER RD|EWA BEACH|District 8
04/29/2023   20:16:37  PM|ROBBERY|17XX  ALA MOANA BLVD|WAIKIKI|District 6
04/29/2023   19:54:58  PM|MISC PUB|16XX  ALA LANI|MOANALUA V|District 5
04/29/2023   19:51:00  PM|MVC VEH TOWED|3XX  POIPU DR|HAWAII KAI|District 7
04/29/2023   19:33:22  PM|HARASSMENT|KALAKAUA AVE / OHUA AVE|WAIKIKI|District 6
04/29/2023   19:29:29  PM|MISC PUB|9206XX  WELO ST|MAKAKILO|District 8
04/29/2023   19:21:02  PM|FAMILY OFF/NEG|9501XX  KIPAPA DR|MILILANI|District 2
04/29/2023   17:26:29  PM|ROBBERY|14XX  ALA MOANA BLVD|ALA MOANA|District 1
04/29/2023   16:16:38  PM|FAMILY OFF/NEG|8501XX  WAIANAE VALLEY RD|WAIANAE|District 8
