04/29/2023   23:42:48  PM|BURGLARY|9XX  LEHUA AVE|PEARL CITY|District 3
04/29/2023   23:41:26  PM|TRAFFIC COMPLAINT|S KING ST / KALAKAUA AVE|HONOLULU|District 1
04/29/2023   23:41:18  PM|ARGUMENT|8XX  S KING ST|HONOLULU|District 1
04/29/2023   23:39:22  PM|ARGUMENT FAMILY|X SAND ISLAND ACC RD|KALIHI|District 5
04/29/2023   23:33:34  PM|NUISANCE COMPLAINT|4107XX  KALANIANAOLE HWY|WAIMANALO|District 4
04/29/2023   23:31:26  PM|MVC VEH TOWED|N KING ST / MOKAUEA ST|KALIHI|District 5
04/29/2023   23:24:30  PM|UEMV|15XX  KAPIOLANI BLVD|ALA MOANA|District 1
04/29/2023   23:24:24  PM|NOISE COMPLAINT|17XX  KEALIA DR|KALIHI|District 5
04/29/2023   23:23:04  PM|ALARM CALL|7XX  S BERETANIA ST|HONOLULU|District 1
04/29/2023   23:21:28  PM|UEMV|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
04/29/2023   23:18:00  PM|FIRE CALL|9XX  KAHUNA LN|MCCULLY|District 7
04/29/2023   23:11:50  PM|ROBBERY|8406XX  LAHAINA ST|MAKAHA|District 8
04/29/2023   23:07:06  PM|AUTO THEFT RECOVERY|23XX  KAPIOLANI BLVD|MCCULLY|District 7
04/29/2023   22:57:44  PM|MVC VEH TOWED|15XX  ALA NAPUNANI|SALT LAKE|District 5
04/29/2023   22:54:56  PM|MVC VEH TOWED|WAIANAE VALLEY RD / MILL ST|WAIANAE|District 8
04/29/2023   22:52:40  PM|ROBBERY|9113XX  IMELDA ST|EWA BEACH|District 8
04/29/2023   22:51:36  PM|VEH TOWED|11XX  MAUNAKEA ST|DOWNTOWN|District 1
04/29/2023   22:16:35  PM|PARKING VIOLATION|MOANALUALANI PL / ALA KAPUNA|MOANALUA V|District 5
04/29/2023   19:54:58  PM|MISC PUB|16XX  ALA LANI|MOANALUA V|District 5
