05/04/2023   18:27:52  PM|MISSING PERSON|13XX  N SCHOOL ST|KALIHI|District 5
05/04/2023   18:27:23  PM|MISC PUB|9410XX  HALEPUNA ST|WAIPAHU|District 3
05/04/2023   18:26:41  PM|MEDICAL ASSIST|9410XX  OLI PL|WAIPIO|District 3
05/04/2023   18:26:11  PM|MISC SERVICE CALL|12XX  HOOLAULEA ST|PEARL CITY|District 3
05/04/2023   18:26:10  PM|ARGUMENT LANDLORD TENANT|32XX  AHINAHINA PL|KAIMUKI|District 7
05/04/2023   18:24:29  PM|MISC PUB|5901XX  KAM HWY|SUNSET|District 2
05/04/2023   18:24:19  PM|PROPERTY DAMAGE|9404XX  HAPANUI PL|WAIPAHU|District 3
05/04/2023   18:24:07  PM|ARGUMENT|8406XX  ALA MAHIKU ST|MAKAHA|District 8
05/04/2023   18:21:08  PM|PARKING VIOLATION|CARLOS LONG ST / GARDENIA ST|KAIMUKI|District 7
05/04/2023   18:10:42  PM|MISC SERVICE CALL|9801XX  KAONOHI ST|AIEA|District 3
05/04/2023   18:10:37  PM|NUISANCE COMPLAINT|9403XX  PUPUOLE ST|WAIPAHU|District 3
05/04/2023   17:40:18  PM|RAPE|13XX  PUNAHOU ST|MCCULLY|District 7
05/04/2023   17:22:52  PM|VEH TOWED|32XX  DIAMOND HEAD RD|KAHALA|District 7
05/04/2023   16:59:28  PM|MISC PUB|5XX  FARRINGTON HWY|KAPOLEI|District 8
05/04/2023   15:23:53  PM|THEFT|9510XX  AAHU ST|MILILANI|District 2
05/04/2023   15:23:13  PM|MISC PUB|7XX  KAHOA DR|KAILUA|District 4
05/04/2023   15:04:44  PM|THREATENING|19XX  ALA MOANA BLVD|WAIKIKI|District 6
05/04/2023   14:43:32  PM|FOLLOW UP|7XX  COOLIDGE ST|MCCULLY|District 7
