05/06/2023   17:41:51  PM|SUSP CIRCUMSTANCE|3XX  N KUAKINI ST|NUUANU|District 5
05/06/2023   17:31:51  PM|RUNAWAY|9110XX  YORKTOWN ST|KALAELOA|District 8
05/06/2023   17:24:23  PM|FOUND PROPERTY|8XX  KAM HWY|PEARL CITY|District 3
05/06/2023   17:22:47  PM|MVC|3XX  OOMANO PL|HAWAII KAI|District 7
05/06/2023   17:21:41  PM|ARGUMENT|5103XX  KAM HWY|KAAAWA|District 4
05/06/2023   17:03:19  PM|ICF/SCF|1XX  ULUNIU AVE|WAIKIKI|District 6
05/06/2023   16:52:32  PM|CONSTRUCTION NOISE|4603XX  HAIKU PLANTATIONS DR|KANEOHE|District 4
05/06/2023   16:40:58  PM|TRESPASS WARN|24XX  KALAKAUA AVE|WAIKIKI|District 6
05/06/2023   16:38:13  PM|MISC PUB|4603XX  KAHUHIPA ST|KANEOHE|District 4
05/06/2023   16:16:24  PM|ARGUMENT|4401XX  KAHINANI WAY|KANEOHE|District 4
05/06/2023   16:05:57  PM|AUTO THEFT|4600XX  KAM HWY|KANEOHE|District 4
05/06/2023   16:01:26  PM|FOLLOW UP|9402XX  LEONUI ST|WAIPAHU|District 3
05/06/2023   14:51:50  PM|THEFT|22XX  KUHIO AVE|WAIKIKI|District 6
05/06/2023   13:13:50  PM|FOLLOW UP|4107XX  BELL ST|WAIMANALO|District 4
