05/12/2023   09:10:54  AM|PARKING VIOLATION|6104XX  KAM HWY|HALEIWA|District 2
05/12/2023   09:09:32  AM|MVC|4501XX  WAIKAPOKI RD|KANEOHE|District 4
05/12/2023   09:08:01  AM|FOLLOW UP|9108XX  MONEHA PL|EWA BEACH|District 8
05/12/2023   09:05:44  AM|TRO INITIAL|11XX  S BERETANIA ST|HONOLULU|District 1
05/12/2023   09:00:00  AM|SUSP CIRCUMSTANCE|7XX  HOOMAEMAE ST|PEARL CITY|District 3
05/12/2023   08:58:30  AM|PROPERTY DAMAGE|32XX  KOAPAKA ST|AIRPORT|District 5
05/12/2023   08:57:59  AM|MISC SERVICE CALL|5XX  PEPEEKEO PL|HAWAII KAI|District 7
05/12/2023   08:57:01  AM|AUTO THEFT RECOVERY|9100XX  PARISH DR|EWA BEACH|District 8
05/12/2023   08:51:03  AM|MISSING PERSON|67XX  HAWAII KAI DR|HAWAII KAI|District 7
05/12/2023   08:50:38  AM|MISC SERVICE CALL|5401XX  KAM HWY|HAUULA|District 4
05/12/2023   08:44:01  AM|MISC PUB|9110XX  KEAUNUI DR|EWA BEACH|District 8
05/12/2023   08:38:40  AM|THEFT|5XX  KAMOKILA BLVD|KAPOLEI|District 8
05/12/2023   08:38:28  AM|FOLLOW UP|31XX  GEORGE ST|KAPAHULU|District 7
05/12/2023   08:29:38  AM|THEFT|9XX  AE ST|KAPOLEI|District 8
05/12/2023   08:14:42  AM|UNATTENDED DEATH|10XX  NUUANU AVE|DOWNTOWN|District 1
05/12/2023   08:14:33  AM|FAMILY OFF/NEG|14XX  WAIMANO HOME RD|PEARL CITY|District 3
05/12/2023   07:54:38  AM|RUNAWAY|9404XX  KOALEO ST|WAIPAHU|District 3
05/12/2023   07:43:16  AM|MISSING PERSON|9108XX  KAUWILI ST|EWA BEACH|District 8
05/12/2023   07:19:58  AM|TRESPASS|8505XX  WAIANAE VALLEY RD|WAIANAE|District 8
