05/15/2023   04:41:22  AM|BURGLARY|9XX  ALAKEA ST|DOWNTOWN|District 1
05/15/2023   04:39:46  AM|MEDICAL ASSIST|8501XX  ALA AKAU ST|WAIANAE|District 8
05/15/2023   04:38:09  AM|DROPPED CALL|23XX  KAPIOLANI BLVD|MCCULLY|District 7
05/15/2023   04:36:07  AM|MVC|16XX  KILOHI ST|KALIHI|District 5
05/15/2023   04:22:05  AM|SUSP CIRCUMSTANCE|8506XX  FARRINGTON HWY|WAIANAE|District 8
05/15/2023   04:17:35  AM|SUSP CIRCUMSTANCE|XX  S KAM HWY|WAHIAWA|District 2
05/15/2023   03:30:58  AM|BURGLARY VEH TAKEN|5XX  N KING ST|KALIHI|District 5
05/15/2023   02:43:08  AM|AUTO THEFT|22XX  ALAHAO PL|KALIHI|District 5
05/15/2023   02:41:49  AM|TRESPASS WARN|5XX  N KUKUI ST|KALIHI|District 5
05/15/2023   01:20:39  AM|LIQUOR LAW|6XX  N KING ST|KALIHI|District 5
05/14/2023   22:48:55  PM|MVC VEH TOWED|5705XX  KAM HWY|KAHUKU|District 4
