05/17/2023   00:43:57  AM|UEMV|13XX  NUUANU AVE|DOWNTOWN|District 1
05/17/2023   00:41:31  AM|ARGUMENT|21XX  WAIOLA ST|MCCULLY|District 7
05/17/2023   00:32:53  AM|VEH TOWED|8708XX  FARRINGTON HWY|MAILI|District 8
05/17/2023   00:25:32  AM|THEFT|13XX  PALAMA ST|KALIHI|District 5
05/17/2023   00:18:57  AM|MISC CRIME OFFENSE|8700XX  FARRINGTON HWY|MAILI|District 8
05/17/2023   00:17:46  AM|FOLLOW UP|9810XX  MOANALUA RD|AIEA|District 3
05/17/2023   00:00:02  AM|HARASSMENT|7XX  KAM HWY|PEARL CITY|District 3
05/16/2023   23:58:00  PM|VEH TOWED|OLD FORT WEAVER RD / FARRINGTON HWY|EWA BEACH|District 8
05/16/2023   23:52:37  PM|NOISE COMPLAINT|HALA DR / KAIKUAHINE ST|KALIHI|District 5
05/16/2023   23:50:20  PM|ROBBERY|9XX  LAKI RD|KALIHI|District 5
05/16/2023   23:15:19  PM|DUI|MAKAKILO DR / PALAILAI ST|MAKAKILO|District 8
05/16/2023   23:12:07  PM|MISC PUB|KAM HWY / KA UKA BLVD|WAIPIO|District 3
05/16/2023   19:03:32  PM|MISC PUB|4803XX  KAM HWY|KAHALUU|District 4
