05/17/2023   07:43:52  AM|MVC|NUI AVE / KAM HWY|WAHIAWA|District 2
05/17/2023   07:43:44  AM|NOISE COMPLAINT|8701XX  KALEIWOHI ST|NANAKULI|District 8
05/17/2023   07:42:19  AM|NUISANCE COMPLAINT|RIVER ST / N HOTEL ST|DOWNTOWN|District 1
05/17/2023   07:42:09  AM|PARKING VIOLATION|KAIPU ST / KAIOPUA ST|EWA BEACH|District 8
05/17/2023   07:38:59  AM|SIMPLE ASSAULT|9121XX  FORT WEAVER RD|EWA BEACH|District 8
05/17/2023   07:35:05  AM|TRAFFIC INCIDENT|4108XX  KALANIANAOLE HWY|WAIMANALO|District 4
05/17/2023   07:34:38  AM|NUISANCE COMPLAINT|5XX  KAMOKILA BLVD|KAPOLEI|District 8
05/17/2023   07:33:52  AM|THEFT|8XX  S BERETANIA ST|HONOLULU|District 1
05/17/2023   07:33:31  AM|NUISANCE COMPLAINT|21XX  MAKIKI HTS DR|MAKIKI|District 1
05/17/2023   07:28:17  AM|MISC PUB|4XX  ENA RD|WAIKIKI|District 6
05/17/2023   07:22:58  AM|VEH TOWED|FORWARD AVE / ALA KAPUNA|MOANALUA V|District 5
05/17/2023   07:19:26  AM|PARKING VIOLATION|LUMIPOLU ST / LUMIKULA ST|WAIPIO|District 3
05/17/2023   07:13:29  AM|FOLLOW UP|17XX  DOLE ST|MANOA|District 7
05/17/2023   07:08:35  AM|PARKING VIOLATION|21XX  HILLCREST ST|KALIHI|District 5
05/17/2023   07:01:14  AM|MISC SERVICE CALL|26XX  HUAPALA ST|MANOA|District 7
05/17/2023   06:57:50  AM|FOLLOW UP|28XX  KAONAWAI PL|MANOA|District 7
05/17/2023   06:53:53  AM|FOLLOW UP|8XX  S KING ST|HONOLULU|District 1
05/17/2023   06:33:23  AM|FOLLOW UP|14XX  PUNAHOU ST|MAKIKI|District 1
05/17/2023   06:08:29  AM|DEFIB CALL|3XX  DALENE WAY|AINA HAINA|District 7
05/17/2023   05:51:06  AM|FOLLOW UP|28XX  KILIHAU ST|MAPUNAPUNA|District 5
