05/26/2023   11:14:02  AM|TRAFFIC STOP|ALA WAI BLVD / LILIUOKALANI AVE|WAIKIKI|District 6
05/26/2023   11:12:58  AM|MISC PUB|9910XX  KAHUA PL|AIEA|District 3
05/26/2023   11:12:55  AM|ARGUMENT|9XX  WINANT ST|KALIHI|District 5
05/26/2023   11:12:46  AM|SUSP PERSON|12XX  KUALA ST|PEARL CITY|District 3
05/26/2023   11:11:39  AM|MVC|14XX  ALA MOANA BLVD|ALA MOANA|District 1
05/26/2023   11:11:23  AM|ARGUMENT|XX  N BERETANIA ST|DOWNTOWN|District 1
05/26/2023   11:10:59  AM|VEH TOWED|4603XX  KAHUHIPA ST|KANEOHE|District 4
05/26/2023   11:10:13  AM|INDECENT EXPOSURE|5XX  N KING ST|KALIHI|District 5
05/26/2023   11:05:00  AM|MVC VEH TOWED|51XX  PALI HWY|NUUANU|District 5
05/26/2023   11:04:32  AM|ARGUMENT FAMILY|7700XX  KAM HWY|94 - NAME?|District 2
05/26/2023   11:03:41  AM|PARKING VIOLATION|1XX  MOKUMANU DR|KAILUA|District 4
05/26/2023   11:00:48  AM|MVC|13XX  S KING ST|HONOLULU|District 1
05/26/2023   10:57:31  AM|AUTO THEFT|19XX  FERN ST|MCCULLY|District 7
05/26/2023   10:57:19  AM|FOLLOW UP|9112XX  MIKOHU ST|EWA BEACH|District 8
05/26/2023   10:56:58  AM|NUISANCE COMPLAINT|16XX  S KING ST|MCCULLY|District 7
05/26/2023   10:56:56  AM|MISC PUB|9512XX  MEHEULA PKWY|MILILANI|District 2
05/26/2023   10:53:52  AM|UNATTENDED DEATH|9816XX  HOOMAIKE ST|PEARL CITY|District 3
05/26/2023   10:53:06  AM|DRUGS/NARCOTICS|2XX  ROSE ST|WAHIAWA|District 2
05/26/2023   10:52:26  AM|THEFT|4XX  OPIHIKAO PL|HAWAII KAI|District 7
05/26/2023   10:33:47  AM|AUTO THEFT RECOVERY|9410XX  IKELOA ST|WAIPAHU|District 3
05/26/2023   10:28:26  AM|MISC PUB|6601XX  KAM HWY|HALEIWA|District 2
05/26/2023   10:25:47  AM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
05/26/2023   10:16:21  AM|NUISANCE COMPLAINT|VARSITY PL / KALO PL|MCCULLY|District 7
05/26/2023   10:05:07  AM|MVC|4504XX  MAKALANI ST|KANEOHE|District 4
05/26/2023   10:02:14  AM|SIMPLE ASSAULT|15XX  WILDER AVE|MAKIKI|District 1
05/26/2023   10:00:38  AM|UNATTENDED DEATH|1XX  N KUAKINI ST|NUUANU|District 5
05/26/2023   09:59:30  AM|MISC PUB|18XX  LILIHA ST|NUUANU|District 5
05/26/2023   09:47:06  AM|RAPE|9404XX  MOKUOLA ST|WAIPAHU|District 3
05/26/2023   09:46:19  AM|PROPERTY DAMAGE|41XX  GUADALCANAL AVE|KALAELOA|District 8
05/26/2023   07:39:48  AM|BURGLARY|27XX  KILIHAU ST|MAPUNAPUNA|District 5
