05/26/2023   21:28:59  PM|ARGUMENT FAMILY|XX  LAIMI RD|NUUANU|District 5
05/26/2023   21:22:31  PM|FOUND PROPERTY|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
05/26/2023   21:21:59  PM|RUNAWAY|19XX  FERN ST|MCCULLY|District 7
05/26/2023   21:16:30  PM|MISC PUB|XX  H1E FWY|WAIPAHU|District 3
05/26/2023   21:11:24  PM|THEFT|8410XX  NOHOLIO RD|MAKAHA|District 8
05/26/2023   21:10:30  PM|PARKING VIOLATION|9112XX  KUANOO ST|EWA BEACH|District 8
05/26/2023   21:08:48  PM|THEFT|25XX  KALAKAUA AVE|WAIKIKI|District 6
05/26/2023   21:08:16  PM|VEH TOWED|5XX  H3W FWY|AIEA|District 3
05/26/2023   21:05:39  PM|AUTO THEFT|4504XX  PAILAKA PL|KANEOHE|District 4
05/26/2023   21:00:34  PM|RUNAWAY|9XX  ALDER ST|HONOLULU|District 1
05/26/2023   20:53:17  PM|MISC SERVICE CALL|9121XX  FORT WEAVER RD|EWA BEACH|District 8
05/26/2023   20:34:53  PM|MISC PUB|5400XX  HAUULA HMSTD RD|HAUULA|District 4
05/26/2023   20:30:19  PM|MVC VEH TOWED|KALAKAUA AVE / YOUNG ST|HONOLULU|District 1
05/26/2023   19:46:27  PM|VEH TOWED|9XX  BIRCH ST|HONOLULU|District 1
05/26/2023   19:39:59  PM|UNATTENDED DEATH|7XX  OLOKELE AVE|KAPAHULU|District 7
05/26/2023   19:29:18  PM|RUNAWAY CXL|5606XX  KAM HWY|KAHUKU|District 4
05/26/2023   18:21:22  PM|MISC PUB|16XX  WILDER AVE|MANOA|District 7
05/26/2023   18:16:53  PM|FOLLOW UP|19XX  KAHAKAI DR|ALA MOANA|District 1
