05/26/2023   23:58:39  PM|NOISE COMPLAINT|5905XX  KAM HWY|SUNSET|District 2
05/26/2023   23:57:30  PM|MISC SERVICE CALL|22XX  KALAKAUA AVE|WAIKIKI|District 6
05/26/2023   23:55:28  PM|ICF/SCF|23XX  KALAKAUA AVE|WAIKIKI|District 6
05/26/2023   23:52:13  PM|NUISANCE COMPLAINT|23XX  KANEALII AVE|PUNCHBOWL|District 1
05/26/2023   23:51:39  PM|ALARM CALL|22XX  KAM HWY|KALIHI|District 5
05/26/2023   23:50:04  PM|STALLED/HAZARD VEH|RENTON RD / FORT WEAVER RD|EWA BEACH|District 8
05/26/2023   23:28:55  PM|MISC PUB|FARRINGTON HWY / WAIOMEA ST|KAPOLEI|District 8
05/26/2023   23:01:50  PM|ARGUMENT|4509XX  LIKELIKE HWY|KANEOHE|District 4
05/26/2023   23:01:32  PM|BURGLARY|13XX  S BERETANIA ST|HONOLULU|District 1
05/26/2023   22:54:08  PM|DUI|KAPOLEI PKWY / FORT BARRETTE RD|KAPOLEI|District 8
05/26/2023   22:35:31  PM|DUI|9XX  KAMOKILA BLVD|KAPOLEI|District 8
05/26/2023   22:21:00  PM|VEH TOWED|LUSITANA ST / S SCHOOL ST|PUNCHBOWL|District 1
05/26/2023   22:15:44  PM|TRAFFIC ARREST/CITATION|HUI ST / KEOLU DR|KAILUA|District 4
