05/28/2023   19:28:08  PM|ARGUMENT|9411XX  MIKILANA PL|WAIPIO|District 3
05/28/2023   19:27:54  PM|THEFT|16XX  KAPIOLANI BLVD|HONOLULU|District 1
05/28/2023   19:26:21  PM|MISC SERVICE CALL|8501XX  FARRINGTON HWY|MAKAHA|District 8
05/28/2023   19:24:20  PM|HARASSMENT|MAUNAKAPU ST / ELEPUU ST|EWA BEACH|District 8
05/28/2023   19:20:00  PM|HARASSMENT|8501XX  MCARTHUR ST|WAIANAE|District 8
05/28/2023   19:19:29  PM|AUTO THEFT|24XX  LAKOLOA PL|KALIHI|District 5
05/28/2023   19:14:13  PM|MISC SERVICE CALL|8501XX  ALA WALUA ST|WAIANAE|District 8
05/28/2023   19:10:40  PM|LOUD PARTY|8XX  KALIHI ST|KALIHI|District 5
05/28/2023   19:08:03  PM|ARSON|KAUKONAHUA RD / WILIKINA DR|WAHIAWA|District 2
05/28/2023   19:04:26  PM|FOLLOW UP|6XX  COOKE ST|HONOLULU|District 1
05/28/2023   19:00:27  PM|MISC SERVICE CALL|9112XX  SARATOGA AVE|KALAELOA|District 8
05/28/2023   18:49:57  PM|ROBBERY|11XX  SMITH ST|DOWNTOWN|District 1
05/28/2023   18:39:19  PM|VEH TOWED|15XX  WILHELMINA RISE|KAIMUKI|District 7
05/28/2023   18:35:34  PM|LIQUOR LAW|11XX  WILDER AVE|MAKIKI|District 1
05/28/2023   18:07:50  PM|UNATTENDED DEATH|4500XX  WAIKALUALOKO LOOP|KANEOHE|District 4
05/28/2023   18:04:18  PM|SIMPLE ASSAULT|5601XX  PUALALEA ST|KAHUKU|District 4
05/28/2023   17:36:23  PM|HARASSMENT|KAPIOLANI BLVD / ATKINSON DR|HONOLULU|District 1
05/28/2023   16:21:45  PM|UNATTENDED DEATH|10XX  KINAU ST|HONOLULU|District 1
05/28/2023   16:12:55  PM|INDECENT EXPOSURE|34XX  DIAMOND HEAD RD|KAHALA|District 7
05/28/2023   16:02:35  PM|SUSP CIRCUMSTANCE|8604XX  MAILIILI RD|WAIANAE|District 8
05/28/2023   15:53:08  PM|AGGRAVATED ASSAULT|8605XX  LUALUALEI HMSTD RD|WAIANAE|District 8
05/28/2023   10:16:43  AM|RUNAWAY CXL|22XX  KALAKAUA AVE|WAIKIKI|District 6
