06/03/2023   11:28:36  AM|ARGUMENT|9402XX  MOENA PL|WAIPAHU|District 3
06/03/2023   11:28:08  AM|UEMV|11XX  DAVENPORT ST|MAKIKI|District 1
06/03/2023   11:25:18  AM|PARKING VIOLATION|9XX  CEDAR ST|HONOLULU|District 1
06/03/2023   11:22:06  AM|PARKING VIOLATION|3XX  N KUAKINI ST|NUUANU|District 5
06/03/2023   11:21:45  AM|MVC|27XX  KILIHAU ST|MAPUNAPUNA|District 5
06/03/2023   11:19:53  AM|MISC SERVICE CALL|3XX  SARATOGA RD|WAIKIKI|District 6
06/03/2023   11:17:52  AM|PARKING VIOLATION|16XX  ALENCASTRE ST|KAIMUKI|District 7
06/03/2023   11:11:55  AM|TRESPASS|9117XX  FORT WEAVER RD|EWA BEACH|District 8
06/03/2023   10:52:48  AM|MISC CRIME OFFENSE|18XX  KAHAKAI DR|ALA MOANA|District 1
06/03/2023   10:25:46  AM|FAMILY OFF/NEG|8906XX  MOKIAWE ST|NANAKULI|District 8
06/03/2023   10:14:45  AM|AUTO THEFT RECOVERY|26XX  KILIHAU ST|MAPUNAPUNA|District 5
06/03/2023   10:11:19  AM|WARRANT ARREST|SUMNER ST / IWILEI RD|KALIHI|District 5
06/03/2023   09:51:32  AM|UNATTENDED DEATH|14XX  LINAPUNI ST|KALIHI|District 5
06/03/2023   09:50:25  AM|MISC PUB|6100XX  KAM HWY|HALEIWA|District 2
06/03/2023   09:38:40  AM|MISC SERVICE CALL|11XX  LYMAN RD|SCHOFIELD|District 2
06/03/2023   09:04:58  AM|WARRANT ARREST|44XX  KAPOLEI PKWY|KAPOLEI|District 8
06/03/2023   08:06:18  AM|BURGLARY|20XX  COLBURN ST|KALIHI|District 5
06/03/2023   07:09:20  AM|DEFIB CALL|11XX  KINAU ST|HONOLULU|District 1
