06/03/2023   17:41:31  PM|MISSING PERSON CXL|9115XX  EKEMAUU ST|EWA BEACH|District 8
06/03/2023   17:39:50  PM|NUISANCE COMPLAINT|36XX  N NIMITZ HWY|AIRPORT|District 5
06/03/2023   17:38:40  PM|AUTO THEFT|9XX  PROSPECT ST|PUNCHBOWL|District 1
06/03/2023   17:36:32  PM|VEH TOWED|30XX  LINCOLN AVE|KAIMUKI|District 7
06/03/2023   17:26:48  PM|THEFT|15XX  PIIKEA ST|AIEA|District 3
06/03/2023   17:21:24  PM|ARGUMENT FAMILY|8XX  HOOMAEMAE ST|PEARL CITY|District 3
06/03/2023   17:08:34  PM|FAMILY OFF/NEG|20XX  POINT WELCOME PL|AMR|District 5
06/03/2023   17:06:57  PM|LIC PLATE THEFT|3XX  CIRCLE MAUKA ST|WAHIAWA|District 2
06/03/2023   17:02:51  PM|MISC CRIME OFFENSE|11XX  KAWELOKA ST|PEARL CITY|District 3
06/03/2023   16:49:13  PM|VEH TOWED|23XX  AMOKEMOKE ST|PEARL CITY|District 3
06/03/2023   15:54:04  PM|WARRANT ARREST|9911XX  AIEA HTS DR|AIEA|District 3
06/03/2023   14:33:35  PM|TRESPASS WARN|12XX  S BERETANIA ST|HONOLULU|District 1
06/03/2023   14:03:11  PM|MISC SERVICE CALL|32XX  BROKAW ST|KAPAHULU|District 7
