06/17/2023   10:28:11  AM|FOLLOW UP|9510XX  WIKAO ST|MILILANI|District 2
06/17/2023   10:27:56  AM|ARGUMENT FAMILY|9400XX  LEOLUA ST|WAIPAHU|District 3
06/17/2023   10:25:42  AM|MVC|1XX  H1E FWY|AIRPORT|District 5
06/17/2023   10:19:29  AM|VEH TOWED|4702XX  AHUIMANU RD|KANEOHE|District 4
06/17/2023   10:19:26  AM|NUISANCE COMPLAINT|19XX  YOUNG ST|MCCULLY|District 7
06/17/2023   10:18:33  AM|NUISANCE COMPLAINT|4600XX  KAM HWY|KANEOHE|District 4
06/17/2023   10:17:03  AM|SUSP CIRCUMSTANCE|6XX  ULUKAHIKI ST|KAILUA|District 4
06/17/2023   10:15:50  AM|PARKING VIOLATION|13XX  KAINUI DR|KAILUA|District 4
06/17/2023   10:08:44  AM|ARGUMENT FAMILY|3XX  N VINEYARD BLVD|DOWNTOWN|District 1
06/17/2023   10:08:29  AM|WARRANT ARREST|82XX  KALANIANAOLE HWY|HAWAII KAI|District 7
06/17/2023   10:08:11  AM|BURGLARY|8XX  MCCULLY ST|MCCULLY|District 7
06/17/2023   09:54:34  AM|FAMILY OFF/NEG|13XX  LILIHA ST|DOWNTOWN|District 1
06/17/2023   09:51:18  AM|MVC|2XX  MOKAUEA ST|KALIHI|District 5
06/17/2023   08:59:00  AM|MISC PUB|NOHONANI ST / ALA WAI BLVD|WAIKIKI|District 6
06/17/2023   08:53:26  AM|THEFT|20XX  KALIA RD|WAIKIKI|District 6
06/17/2023   08:19:40  AM|WARRANT ARREST|4100XX  WAILEA ST|WAIMANALO|District 4
06/16/2023   22:57:16  PM|AGGRAVATED ASSAULT|4505XX  PAHIA RD|KANEOHE|District 4
