06/19/2023   17:57:02  PM|FOLLOW UP|10XX  ULUWALE ST|WAHIAWA|District 2
06/19/2023   17:53:27  PM|ARGUMENT|8602XX  MOEKOLU ST|WAIANAE|District 8
06/19/2023   17:47:05  PM|MVC VEH TOWED|WINAM AVE / LUKEPANE AVE|KAPAHULU|District 7
06/19/2023   17:44:01  PM|SUSP PERSON|2XX  AIKAHI PL|KAILUA|District 4
06/19/2023   17:43:25  PM|FAMILY OFF/NEG|9116XX  BOND ST|EWA BEACH|District 8
06/19/2023   17:41:30  PM|PROPERTY DAMAGE|9102XX  HANAPOULI CIR|EWA BEACH|District 8
06/19/2023   17:40:01  PM|SIMPLE ASSAULT|8407XX  KILI DR|MAKAHA|District 8
06/19/2023   17:36:24  PM|MISC PUB|22XX  KALAKAUA AVE|WAIKIKI|District 6
06/19/2023   17:26:35  PM|PROPERTY DAMAGE|8408XX  HANALEI ST|MAKAHA|District 8
06/19/2023   17:10:40  PM|MISC PUB|CORAL SEA RD / INDEPENDENCE ST|KALAELOA|District 8
06/19/2023   15:06:10  PM|MISC PUB|4100XX  ALOILOI ST|WAIMANALO|District 4
