06/20/2023   21:13:52  PM|FAMILY OFF/NEG|13XX  PUNAHOU ST|MCCULLY|District 7
06/20/2023   21:13:34  PM|NUISANCE COMPLAINT|9XX  KAHEKA ST|HONOLULU|District 1
06/20/2023   21:12:12  PM|NUISANCE COMPLAINT|9410XX  KAMIKI ST|WAIPAHU|District 3
06/20/2023   21:10:57  PM|SIMPLE ASSAULT|9121XX  FORT WEAVER RD|EWA BEACH|District 8
06/20/2023   21:10:51  PM|HAZARDOUS DRIVER|60XX  PALI HWY|KAILUA|District 4
06/20/2023   21:09:18  PM|WARRANT ARREST|4506XX  KAM HWY|KANEOHE|District 4
06/20/2023   21:08:04  PM|THEFT|9512XX  HIKIKAULIA ST|MILILANI|District 2
06/20/2023   21:07:53  PM|MVC VEH TOWED|48XX  KAPOLEI PKWY|KAPOLEI|District 8
06/20/2023   21:07:50  PM|MISC SERVICE CALL|9XX  KAWAIAHAO ST|HONOLULU|District 1
06/20/2023   21:06:53  PM|MVC VEH TOWED|8906XX  FARRINGTON HWY|NANAKULI|District 8
06/20/2023   21:06:16  PM|MISC PUB|9900XX  KALALOA ST|AIEA|District 3
06/20/2023   20:55:05  PM|MISC PUB|19XX  ALA MOANA BLVD|WAIKIKI|District 6
06/20/2023   20:51:03  PM|RUNAWAY|6XX  ILIAINA ST|KAILUA|District 4
06/20/2023   20:42:59  PM|MVC|9117XX  PEPPER ROW|EWA BEACH|District 8
06/20/2023   20:32:02  PM|THEFT|22XX  KALAKAUA AVE|WAIKIKI|District 6
06/20/2023   20:19:43  PM|FIREWORKS VIOLATION|5905XX  KE IKI RD|SUNSET|District 2
06/20/2023   20:15:49  PM|TRESPASS|9409XX  FARRINGTON HWY|WAIPAHU|District 3
06/20/2023   19:18:32  PM|MISC PUB|FARRINGTON HWY / PAIWA ST|WAIPAHU|District 3
06/20/2023   18:10:31  PM|AUTO THEFT RECOVERY|3XX  OHAI PL|WAHIAWA|District 2
06/20/2023   13:48:31  PM|WARRANT ARREST|9403XX  FARRINGTON HWY|WAIPAHU|District 3
