06/24/2023   02:50:24  AM|ICF/SCF|16XX  STILLMAN LN|NUUANU|District 5
06/24/2023   02:36:52  AM|PARKING VIOLATION|9110XX  NOHOLIKE ST|EWA BEACH|District 8
06/24/2023   02:34:17  AM|PROPERTY DAMAGE|9408XX  LANIKUHANA AVE|MILILANI|District 2
06/24/2023   02:32:47  AM|MISC SERVICE CALL|6701XX  FARRINGTON HWY|WAIALUA|District 2
06/24/2023   02:30:39  AM|DUI|XX  H1W FWY|KUNIA|District 8
06/24/2023   02:30:11  AM|PROPERTY DAMAGE|23XX  KALAKAUA AVE|WAIKIKI|District 6
06/24/2023   02:25:42  AM|DISORDERLY CONDUCT|21XX  AHE ST|KAIMUKI|District 7
06/24/2023   02:24:38  AM|EXTRADITION VIOLATION|KALAKAUA AVE / MCCULLY ST|WAIKIKI|District 6
06/24/2023   02:18:55  AM|MVC VEH TOWED|KAPIOLANI BLVD / MCCULLY ST|MCCULLY|District 7
06/24/2023   02:05:39  AM|TRESPASS|4XX  KAPAHULU AVE|KAPAHULU|District 7
06/24/2023   02:00:53  AM|VEH TOWED|5500XX  NAUPAKA ST|LAIE|District 4
06/24/2023   01:23:22  AM|FAMILY OFF/NEG|9901XX  KOHOMUA ST|AIEA|District 3
06/24/2023   00:43:53  AM|FAMILY OFF/NEG|9402XX  ANIANI PL|WAIPAHU|District 3
