06/28/2023   10:28:34  AM|SUSP CIRCUMSTANCE|8XX  W HIND DR|AINA HAINA|District 7
06/28/2023   10:27:48  AM|NUISANCE COMPLAINT|8721XX  FARRINGTON HWY|NANAKULI|District 8
06/28/2023   10:26:30  AM|MISC SERVICE CALL|9102XX  HOOPAA PL|EWA BEACH|District 8
06/28/2023   10:24:45  AM|FRAUD|22XX  HOONEE PL|KALIHI|District 5
06/28/2023   10:24:11  AM|MISC PUB|8701XX  MAMOALII PL|MAILI|District 8
06/28/2023   10:21:56  AM|FRAUD|12XX  PIIKOI ST|HONOLULU|District 1
06/28/2023   10:20:31  AM|WARRANT ARREST|8901XX  FARRINGTON HWY|NANAKULI|District 8
06/28/2023   10:17:59  AM|VEH TOWED|4XX  N SCHOOL ST|NUUANU|District 5
06/28/2023   10:17:15  AM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
06/28/2023   10:15:16  AM|THEFT|24XX  KOA AVE|WAIKIKI|District 6
06/28/2023   10:12:59  AM|LOST PROPERTY|3XX  N CANE ST|WAHIAWA|District 2
06/28/2023   10:09:53  AM|IDENTITY THEFT|2XX  TINKER RD|BELLOWS|District 4
06/28/2023   10:09:28  AM|FOLLOW UP|9810XX  MOANALUA RD|AIEA|District 3
06/28/2023   10:08:06  AM|AUTO THEFT|11XX  BISHOP ST|DOWNTOWN|District 1
06/28/2023   10:06:19  AM|UNATTENDED DEATH|8702XX  WAIOLU ST|NANAKULI|District 8
06/28/2023   10:03:40  AM|PROPERTY DAMAGE|7XX  KAILUA RD|KAILUA|District 4
06/28/2023   09:54:06  AM|WARRANT ARREST|KOHOU ST / KALANI ST|KALIHI|District 5
06/28/2023   09:54:02  AM|UNATTENDED DEATH|5601XX  PUALALEA ST|KAHUKU|District 4
06/28/2023   09:51:58  AM|MISC PUB|6100XX  KAM HWY|HALEIWA|District 2
06/28/2023   09:39:38  AM|COUNTERFEIT/FORGERY|15XX  KAPIOLANI BLVD|ALA MOANA|District 1
06/28/2023   09:25:20  AM|RUNAWAY|X JARRETT WHITE RD|TRIPLER|District 5
06/28/2023   09:18:39  AM|COUNTERFEIT/FORGERY|22XX  N KING ST|KALIHI|District 5
06/28/2023   09:18:03  AM|MISC PUB|KALANIANAOLE HWY / ALOILOI ST|WAIMANALO|District 4
06/28/2023   09:14:56  AM|FOLLOW UP|12XX  ALA KAPUNA|MOANALUA V|District 5
06/28/2023   08:21:23  AM|VEH TOWED|PAHIKA ST / HAPAIKO ST|EWA BEACH|District 8
