07/07/2023   08:58:42  AM|DEFIB CALL|4701XX  PULAMA PL|KAHALUU|District 4
07/07/2023   08:50:25  AM|TRESPASS WARN|15XX  LINAPUNI ST|KALIHI|District 5
07/07/2023   08:47:40  AM|NUISANCE COMPLAINT|13XX  S BERETANIA ST|HONOLULU|District 1
07/07/2023   08:47:18  AM|PROPERTY DAMAGE|24XX  KOA AVE|WAIKIKI|District 6
07/07/2023   08:45:19  AM|LOST PROPERTY|3XX  RODGERS BLVD|AIRPORT|District 5
07/07/2023   08:37:21  AM|LOST PROPERTY|8609XX  HALE EKAHI DR|WAIANAE|District 8
07/07/2023   08:36:54  AM|THEFT|50XX  KAHALA AVE|KAHALA|District 7
07/07/2023   08:34:52  AM|MVC|9505XX  WIKAO ST|MILILANI|District 2
07/07/2023   08:29:47  AM|PARKING VIOLATION|4XX  NAHUA ST|WAIKIKI|District 6
07/07/2023   08:24:17  AM|FRAUD|1XX  HANAUMA BAY RD|HAWAII KAI|District 7
07/07/2023   08:21:50  AM|THEFT|9408XX  MOLOALO ST|WAIPAHU|District 3
07/07/2023   08:20:56  AM|AUTO THEFT|8XX  PIIKOI ST|HONOLULU|District 1
07/07/2023   08:13:58  AM|AUTO THEFT|30XX  ALA ILIMA|SALT LAKE|District 5
07/07/2023   07:26:31  AM|MVC|9405XX  KUPUOHI ST|WAIPAHU|District 3
07/07/2023   06:16:41  AM|THEFT|9408XX  LUMIAINA ST|WAIPIO|District 3
