07/08/2023   14:40:09  PM|MVC|9401XX  PAHU ST|WAIPAHU|District 3
07/08/2023   14:39:09  PM|FOUND PROPERTY|23XX  KUHIO AVE|WAIKIKI|District 6
07/08/2023   14:35:26  PM|MISC SERVICE CALL|7XX  KAHEKA ST|HONOLULU|District 1
07/08/2023   14:30:29  PM|NUISANCE COMPLAINT|8600XX  ALA POKO|WAIANAE|District 8
07/08/2023   14:26:21  PM|FAMILY OFF/NEG|8411XX  LAHAINA ST|MAKAHA|District 8
07/08/2023   14:19:30  PM|DROPPED CALL|9101XX  AEAE PL|EWA BEACH|District 8
07/08/2023   14:17:32  PM|THEFT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
07/08/2023   14:15:48  PM|HARASSMENT|8610XX  MOEKAHI ST|WAIANAE|District 8
07/08/2023   14:07:34  PM|MISSING PERSON|25XX  DATE ST|MCCULLY|District 7
07/08/2023   14:01:09  PM|THEFT|26XX  WAIOMAO RD|KAIMUKI|District 7
07/08/2023   13:56:56  PM|MISC SERVICE CALL|4XX  WAAULA LN|HELEMANO|District 2
07/08/2023   13:15:59  PM|FAMILY OFF/NEG|8401XX  JADE ST|MAKAHA|District 8
07/08/2023   13:12:58  PM|WARRANT ARREST|11XX  ALAKEA ST|DOWNTOWN|District 1
07/08/2023   11:17:55  AM|HARASSMENT|13XX  DOMINIS ST|MAKIKI|District 1
07/08/2023   10:30:45  AM|AUTO THEFT RECOVERY|7XX  CAPTAIN COOK AVE|PUNCHBOWL|District 1
07/08/2023   08:04:38  AM|AUTO THEFT RECOVERY|8XX  KAIWIULA ST|KALIHI|District 5
