07/10/2023   16:13:05  PM|WARRANT ARREST|25XX  KALAKAUA AVE|WAIKIKI|District 6
07/10/2023   16:12:07  PM|HAZARDOUS DRIVER|KUALAKAI PKWY / FARRINGTON HWY|KAPOLEI|District 8
07/10/2023   16:11:45  PM|MISC SERVICE CALL|16XX  N SCHOOL ST|KALIHI|District 5
07/10/2023   16:06:56  PM|LOST PROPERTY|9210XX  ALIINUI DR|KAPOLEI|District 8
07/10/2023   16:06:55  PM|TRESPASS|5XX  DILLINGHAM BLVD|KALIHI|District 5
07/10/2023   16:06:02  PM|FAMILY OFF/NEG|8408XX  LAHAINA ST|MAKAHA|District 8
07/10/2023   15:54:03  PM|THEFT|32XX  CHARLES ST|KAIMUKI|District 7
07/10/2023   15:53:52  PM|ARGUMENT FAMILY|XX  ONEAWA ST|KAILUA|District 4
07/10/2023   15:53:00  PM|THEFT|11XX  MOKUHANO ST|HAWAII KAI|District 7
07/10/2023   15:50:11  PM|FOLLOW UP|34XX  EDNA ST|KAPAHULU|District 7
07/10/2023   15:23:23  PM|FOLLOW UP|11XX  WAIMANU ST|HONOLULU|District 1
07/10/2023   15:19:22  PM|MISC PUB|9109XX  NORTH RD|EWA BEACH|District 8
07/10/2023   15:16:08  PM|VEH TOWED|25XX  KALIHI ST|KALIHI|District 5
07/10/2023   15:14:10  PM|FAMILY OFF/NEG|9111XX  FORT WEAVER RD|EWA BEACH|District 8
07/10/2023   14:43:55  PM|MISC PUB|7XX  KINAU ST|HONOLULU|District 1
07/10/2023   13:25:27  PM|AGGRAVATED ASSAULT|4102XX  ILAUHOLE ST|WAIMANALO|District 4
