07/20/2023   05:12:40  AM|PARKING VIOLATION|32XX  HERBERT ST|KAPAHULU|District 7
07/20/2023   05:12:16  AM|STALLED/HAZARD VEH|ST JOHNS RD / FARRINGTON HWY|MAILI|District 8
07/20/2023   05:08:46  AM|ALARM CALL|14XX  ALA MOANA BLVD|ALA MOANA|District 1
07/20/2023   05:02:16  AM|DISORDERLY CONDUCT|9114XX  KEAHUMOA PKWY|EWA BEACH|District 8
07/20/2023   04:52:58  AM|MVC|KAM HWY / SANTOS DUMONT AVE|MILILANI|District 2
07/20/2023   03:53:17  AM|DUI|9804XX  KOAUKA LOOP|AIEA|District 3
07/20/2023   03:52:36  AM|MVC VEH TOWED|4905XX  KAM HWY|KAHALUU|District 4
07/20/2023   03:51:27  AM|TRESPASS|9409XX  FARRINGTON HWY|WAIPAHU|District 3
07/20/2023   03:23:11  AM|RAPE|5400XX  KUKUNA RD|HAUULA|District 4
07/20/2023   02:55:11  AM|TRAFFIC STOP|S KAM HWY / AVOCADO ST|WAHIAWA|District 2
07/20/2023   00:55:53  AM|DUI|S KING ST / VICTORIA ST|HONOLULU|District 1
07/20/2023   00:39:22  AM|THREATENING|KAPIOLANI BLVD / ATKINSON DR|HONOLULU|District 1
07/20/2023   00:03:39  AM|VEH TOWED|KAPIOLANI BLVD / PIIKOI ST|HONOLULU|District 1
07/19/2023   23:41:32  PM|AUTO THEFT|5502XX  KULANUI ST|LAIE|District 4
