07/21/2023   17:58:59  PM|UEMV|8110XX  FARRINGTON HWY|MAKAHA|District 8
07/21/2023   17:58:52  PM|MISC SERVICE CALL|13XX  13TH AVE|KAIMUKI|District 7
07/21/2023   17:58:01  PM|ORDER VIOLATION|9408XX  LUMIAUAU ST|WAIPIO|District 3
07/21/2023   17:52:46  PM|TRESPASS WARN|6XX  IWILEI RD|KALIHI|District 5
07/21/2023   17:48:35  PM|THEFT|16XX  ALA MOANA BLVD|ALA MOANA|District 1
07/21/2023   17:48:30  PM|MISC SERVICE CALL|72XX  MOKUONE ST|HAWAII KAI|District 7
07/21/2023   17:45:35  PM|LOST PROPERTY|10XX  WONG HO LN|HONOLULU|District 1
07/21/2023   17:45:35  PM|MISC CRIME OFFENSE|21XX  BOOTH RD|PUNCHBOWL|District 1
07/21/2023   17:42:47  PM|MISC PUB|7XX  KEEAUMOKU ST|HONOLULU|District 1
07/21/2023   17:41:27  PM|MISC SERVICE CALL|9804XX  HOOKANIKE ST|PEARL CITY|District 3
07/21/2023   17:40:41  PM|MVC|ALA WAI BLVD / NOHONANI ST|WAIKIKI|District 6
07/21/2023   17:22:18  PM|SUSP CIRCUMSTANCE|4100XX  PUUONE ST|WAIMANALO|District 4
07/21/2023   17:18:50  PM|HARASSMENT|7XX  IPUAI ST|HAWAII KAI|District 7
07/21/2023   16:54:18  PM|THEFT|16XX  N SCHOOL ST|KALIHI|District 5
07/21/2023   16:47:02  PM|STALLED/HAZARD VEH|2XX  H1W FWY|MAKIKI|District 1
07/21/2023   16:23:52  PM|THEFT|5XX  SOUTH ST|HONOLULU|District 1
07/21/2023   16:07:24  PM|THEFT|4504XX  KANEOHE BAY DR|KANEOHE|District 4
07/21/2023   16:07:20  PM|VEH TOWED|10XX  KEOLU DR|KAILUA|District 4
07/21/2023   15:40:29  PM|RUNAWAY CXL|24XX  KALAKAUA AVE|WAIKIKI|District 6
07/21/2023   14:52:07  PM|UNATTENDED DEATH|21XX  KUHIO AVE|WAIKIKI|District 6
07/21/2023   14:31:36  PM|THEFT|7XX  AMANA ST|HONOLULU|District 1
07/21/2023   13:23:31  PM|MISC PUB|4XX  KAPAHULU AVE|KAPAHULU|District 7
