07/23/2023   12:28:03  PM|ALARM CALL|55XX  POOLA ST|WAIALAE|District 7
07/23/2023   12:24:13  PM|FOLLOW UP|4501XX  KEANA RD|KANEOHE|District 4
07/23/2023   12:22:01  PM|DROPPED CALL|4706XX  LAMAULA RD|KAHALUU|District 4
07/23/2023   12:21:21  PM|LOST PROPERTY|9XX  A RD|PEARL CITY|District 3
07/23/2023   12:09:31  PM|UEMV|1XX  S KALAHEO AVE|KAILUA|District 4
07/23/2023   11:58:03  AM|FAMILY OFF/NEG|9403XX  PUPUKUPA ST|WAIPAHU|District 3
07/23/2023   11:43:48  AM|ORDER VIOLATION|9207XX  NOHOPONO ST|MAKAKILO|District 8
07/23/2023   11:36:51  AM|SUSP CIRCUMSTANCE|LELEULI ST / PEAWINI PL|KAHUKU|District 4
07/23/2023   11:20:39  AM|DUI|IROQUOIS DR / NORTH RD|EWA BEACH|District 8
07/23/2023   09:40:05  AM|VEH TOWED|KAPIOLANI BLVD / MAHUKONA ST|HONOLULU|District 1
07/23/2023   09:39:56  AM|TRESPASS WARN|5700XX  KAM HWY|KAHUKU|District 4
